Total Number of Aligned Reads:	127140	Total Number of Mapped Genomes:	7735
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|1280|org|Staphylococcus_aureus	0.3770936663038041	0.3554349535944628	45190.0	0.329314141890829	0.02612081170363379	0.3335023946172569	0.061834090902900866	7861.586317394816	0.04649992134654711	0.16185307535000787
ti|663951|org|Staphylococcus_aureus_subsp._aureus_TW20	0.155210586123644	0.4766163284568192	60597.0	0.2832704105710241	0.1933459178857952	0.07159289130038424	0.07852158984548172	9983.234932954545	0.004263017146452729	0.6081406323737613
ti|93061|org|Staphylococcus_aureus_subsp._aureus_NCTC_8325	0.14148558912746545	0.09715274500550575	12352.0	0.07755230454616957	0.019600440459336167	0.14525429111656915	0.054543023034098144	6934.599948555238	0.014212678936605317	0.47542079597294323
ti|418127|org|Staphylococcus_aureus_subsp._aureus_Mu3	0.04936056415322096	0.00804624823029731	1023.0	0.007700173037596351	0.00034607519270095957	0.054870574460676946	0.020380926898085825	2591.2310458226316	0.006048450526978134	0.2279613025011798
ti|282458|org|Staphylococcus_aureus_subsp._aureus_MRSA252	0.04166616023431571	0.004270882491741387	543.0	0.00421582507472078	5.5057417020607206e-05	0.05251572618451636	0.031503088823247344	4005.3027129876673	0.003979864716061035	0.2020292590844738
ti|1028799|org|Staphylococcus_aureus_subsp._aureus_VC40	0.038763702794028194	0.003932672644329086	500.0	0.003822557810287872	0.00011011483404121441	0.043689777948583544	0.04670859072774937	5938.530225126055	0.004137171621834198	0.470961145194274
ti|546342|org|Staphylococcus_aureus_subsp._aureus_str._JKD6008	0.02324562967536398	0.005757432751297782	732.0	0.005364165486864874	0.0003932672644329086	0.030340119529650676	0.099867708775181	12697.180493676513	0.004695611137328928	0.6431728802894447
ti|874268|org|Staphylococcus_phage_phi7247PVL	0.021091293734364986	0.004231555765298096	538.0	0.004200094384143464	3.1461381154632686e-05	0.013005846872230716	0.0034549423515637862	439.2613705778198	0.003964134025483719	0.0006764196948246028
ti|985002|org|Staphylococcus_aureus_subsp._aureus_MSHR1132	0.019450662353886553	0.005796759477741073	737.0	0.005781028787163757	1.5730690577316343e-05	0.018795201113915454	0.005921913753608799	752.9121146338226	0.005411357558596823	0.00994179644486393
ti|283734|org|Staphylococcus_pseudintermedius	0.015173104177475269	0.00146295422369042	186.0	0.00146295422369042	0.0	0.01517310489668553	0.002077268451953056	264.1039109813115	0.0014786849142677362	0.003885480572597137
ti|1074252|org|Staphylococcus_aureus_subsp._aureus_HO_5096_0412	0.014602886825865346	0.0038068271197105553	484.0	0.0038068271197105553	0.0	0.017494206706984084	0.014139672964033819	1797.7180206472597	0.0035472707251848357	0.15467201510146295
ti|282459|org|Staphylococcus_aureus_subsp._aureus_MSSA476	0.01299983439499559	0.0022573540978448954	287.0	0.0022494887525562374	7.865345288658172e-06	0.01874792276082926	0.02002873680502148	2546.453597390431	0.002013528393896492	0.25300456190026743
ti|93062|org|Staphylococcus_aureus_subsp._aureus_COL	0.01230929652269732	0.001455088878401762	185.0	0.0014314928425357874	2.3596035865974516e-05	0.012378250170250767	0.042094663546346583	5351.915523282504	0.0013921661160924965	0.46276545540349223
ti|359786|org|Staphylococcus_aureus_subsp._aureus_JH9	0.009819109553942893	0.0033427717476797233	425.0	0.0032798489853704577	6.292276230926537e-05	0.0024901881061818384	0.014040937854699289	1785.1648388464675	0.00073147711184521	0.2318153216926223
ti|1123523|org|Staphylococcus_aureus_subsp._aureus_11819-97	0.00698066232043186	0.001282051282051282	163.0	0.001282051282051282	0.0	0.0068933696741314806	0.020419207652689935	2596.0980609629983	0.0011640711027214095	0.26945886424414034
ti|186153|org|Staphylococcus_phage_phi13	0.006873200008104693	0.0013135126632059146	167.0	0.0013135126632059146	0.0	0.007262178853964079	0.0015462917871684437	196.59553782059592	0.0016359918200408998	0.0003854019191442504
ti|320847|org|Staphylococcus_phage_52A	0.005545508727702085	0.002910177756803524	370.0	0.0028157936133396256	9.438414346389807e-05	0.004680581338211869	0.0025329240197692303	322.03595987345994	0.002147239263803681	0.0008415919458864245
ti|685039|org|Staphylococcus_aureus_subsp._aureus_ED133	0.00528601888779762	0.001148340412144093	146.0	0.001140475066855435	7.865345288658172e-06	0.005361672739524254	0.007527968494888768	957.105914440158	0.001093282995123486	0.10047978606260814
ti|548473|org|Staphylococcus_aureus_subsp._aureus_TCH60	0.005118205094837173	0.0005584395154947302	71.0	0.0005505741702060721	7.865345288658172e-06	0.03568587382398728	0.029668691028104658	3772.0773773132264	0.002516910492370615	0.19830108541764985
ti|46170|org|Staphylococcus_aureus_subsp._aureus	0.0049148021153738895	0.0037439043574012897	476.0	0.0037439043574012897	0.0	0.004969319447149347	0.004909825448723288	624.2352075506789	0.0038697498820198205	0.012977819726285984
ti|320846|org|Staphylococcus_phage_29	0.004793660524108128	0.0005112474437627812	65.0	0.0005112474437627812	0.0	0.0046216198499745295	0.0005470977484112611	69.55800773300774	0.000503382098474123	0.0002595563945257197
ti|218963|org|Shuttle_vector_pSK5632	0.0033139006473066964	0.00043259399087619945	55.0	0.00043259399087619945	0.0	0.0012810565479058381	0.0002241623407267576	28.49999999999996	0.00018876828692779613	0.00044045933616485765
ti|487152|org|Staphylococcus_phage_phiMR25	0.0032900245435833744	0.0003146138115463269	40.0	0.0003146138115463269	0.0	0.003095637501032001	0.0003679067751153642	46.7756673881674	0.0003146138115463269	0.00029888312096901053
ti|1352|org|Enterococcus_faecium	0.0025606896591399524	0.0019742016674532013	251.0	0.0019742016674532013	0.0	0.01694615391936855	0.003422147620436896	435.09184846234695	0.0019270095957212522	0.011467673430863615
ti|903521|org|Staphylococcus_aureus_SK6575	0.0015082802269272373	0.00013371086990718892	17.0	0.00013371086990718892	0.0	0.0015082802269547934	0.0005943488636240592	75.56551452116288	0.00013371086990718892	0.006890042472864559
ti|1195071|org|Staphylococcus_phage_StauST398-3	0.001478773179576119	0.0002910177756803524	37.0	0.0002831524303916942	7.865345288658172e-06	0.0008739977939529557	0.00026139334421543015	33.23354978354979	0.00017303759635047978	0.00036967122856693406
ti|985006|org|Staphylococcus_aureus_subsp._aureus_LGA251	0.0014491250253379465	0.0011247443762781187	143.0	0.0011247443762781187	0.0	0.002439095961115807	0.008198773479131956	1042.3920601368368	0.001187667138587384	0.10726757904672016
ti|426430|org|Staphylococcus_aureus_subsp._aureus_str._Newman	0.0013436776923484647	0.00017303759635047978	22.0	0.00017303759635047978	0.0	0.0014387044661208468	0.042384208892555786	5388.728318599543	0.0001966336322164543	0.490128991662734
ti|320844|org|Staphylococcus_phage_71	0.0011188124996574444	0.0003932672644329086	50.0	0.00035394053798961777	3.932672644329086e-05	0.0013816162784695315	0.0011490188334611808	146.08625448625455	0.0005427088249174139	0.0009910335063709297
ti|523796|org|Staphylococcus_aureus_subsp._aureus_ST398	0.0010882535434240967	0.0004797860626081485	61.0	0.0004797860626081485	0.0	0.0015446111382814173	0.007331400198846597	932.1142212813563	0.00040899795501022495	0.10151801164071103
ti|158878|org|Staphylococcus_aureus_subsp._aureus_Mu50	0.0010824517058351851	0.00022022966808242882	28.0	0.00022022966808242882	0.0	0.0017608005026311154	0.013670460234953613	1738.0623142720024	0.0002595563945257197	0.2341120025169105
ti|320848|org|Staphylococcus_phage_88	0.000946129918905724	0.0006292276230926538	80.0	0.0006056315872266792	2.3596035865974516e-05	0.0019539278782684287	0.0008720842914448389	110.87679681429682	0.0006292276230926538	0.0008415919458864245
ti|1155084|org|Staphylococcus_aureus_subsp._aureus_71193	0.0009084928732642845	0.0007786691835771591	99.0	0.0007786691835771591	0.0	0.0024911756809092756	0.007791973844048546	990.6715545323322	0.001226993865030675	0.09757747365109329
ti|872294|org|Staphylococcus_phage_SAP-26	0.0008684858746594654	0.00017303759635047978	22.0	0.00017303759635047978	0.0	0.0008684870002215558	0.00020559103696838314	26.13884444016023	0.00017303759635047978	0.00018090294163913796
ti|668618|org|Staphylococcus_phage_P954	0.0007105916791391606	0.00013371086990718892	17.0	0.00013371086990718892	0.0	0.0007108452801823933	0.0003379660178491885	42.96899950934583	0.00011798017932987259	0.0011090136857008022
ti|561307|org|Staphylococcus_aureus_subsp._aureus_RN4220	0.0006914726022208046	0.00015730690577316344	20.0	0.00015730690577316344	0.0	0.0006914713724007953	0.0005533906161491241	70.35808293719964	0.00014944156048450526	0.004845052697813434
ti|947066|org|Staphylococcus_phage_TEM126	0.0006797423025953763	0.0015494730218656599	197.0	0.0015494730218656599	0.0	0.0006793281955584637	0.0015372037074491062	195.44007936507936	0.0015258769859996853	7.865345288658172e-05
ti|1305598|org|Staphylococcus_aureus_M1	0.0006478403300298309	4.719207173194903e-05	6.0	4.719207173194903e-05	0.0	0.0010048294041460184	0.04214835548617661	5358.741916512495	0.00011798017932987259	0.4821613968853233
ti|1118959|org|Staphylococcus_aureus_subsp._aureus_M013	0.0006477904578537062	0.0013213780084945729	168.0	0.0013213780084945729	0.0	0.009561082939268831	0.009448467758910851	1201.2781908679256	0.003146138115463269	0.1051124744376278
ti|1155766|org|Enterococcus_faecium_Aus0004	0.00059414746533828	7.078810759792355e-05	9.0	7.078810759792355e-05	0.0	0.01693852240849	0.0013845528981332987	176.0320554686676	0.00011011483404121441	0.006040585181689476
ti|869816|org|Staphylococcus_aureus_subsp._aureus_JKD6159	0.000553146309991023	0.00020449897750511248	26.0	0.00020449897750511248	0.0	0.002113302240508432	0.006626709024109483	842.5197853252797	0.0002831524303916942	0.10007865345288658
ti|320831|org|Staphylococcus_phage_PT1028	0.0005340152567477991	0.0002595563945257197	33.0	0.0002595563945257197	0.0	0.0009023656009375778	0.000427612605526716	54.366666666666674	0.000228095013371087	0.00047192071731949034
ti|1285|org|Staphylococcus_intermedius	0.0005210375053142694	0.0003146138115463269	40.0	0.0003146138115463269	0.0	0.00027680302368915296	0.00020945198638400023	26.62972554886179	0.0003146138115463269	1.5730690577316343e-05
ti|1409|org|Bacillus_sp.	0.0005120996097413005	5.5057417020607206e-05	7.0	5.5057417020607206e-05	0.0	0.0005120996097413004	8.398628443106875e-05	10.67801620256608	5.5057417020607206e-05	0.0005899008966493629
ti|1599|org|Lactobacillus_sakei	0.0004796506914928833	1.5730690577316343e-05	2.0	1.5730690577316343e-05	0.0	0.001833261250944223	0.00016292165241113082	20.713858887551172	3.932672644329086e-05	0.0011090136857008022
ti|158879|org|Staphylococcus_aureus_subsp._aureus_N315	0.0003307277770235762	0.00018876828692779613	24.0	0.00018876828692779613	0.0	0.0010178000491696132	0.014311330783280536	1819.5425957862874	0.00035394053798961777	0.2446436998584238
ti|1296589|org|Expression_vector_pME9	0.00019040402698651372	1.5730690577316343e-05	2.0	1.5730690577316343e-05	0.0	9.520201349325705e-05	1.731480693621251e-05	2.201404553870059	1.5730690577316343e-05	0.0002910177756803524
ti|1074919|org|Staphylococcus_aureus_subsp._aureus_ST228	7.263473813497932e-05	1.5730690577316343e-05	2.0	1.5730690577316343e-05	0.0	0.0007444300878468696	0.014453210884677239	1837.5812318778642	5.5057417020607206e-05	0.2505663048607834
ti|1290|org|Staphylococcus_hominis	6.214264831338742e-05	7.865345288658172e-06	1.0	7.865345288658172e-06	0.0	6.21426483133799e-05	0.00011312568701404694	14.382799846965929	7.865345288658172e-06	0.0009910335063709297
ti|176280|org|Staphylococcus_epidermidis_ATCC_12228	1.3288724818562228e-05	0.0022180273714016044	282.0	0.0022180273714016044	0.0	1.3290843620239033e-05	0.002225661940507456	282.970659116118	0.0018562214881233286	0.0022101620261129463
ti|451516|org|Staphylococcus_aureus_subsp._aureus_USA300_TCH1516	1.2963153988188885e-05	0.00011798017932987259	15.0	0.00011798017932987259	0.0	0.0007406263761262409	0.04222736883602106	5368.7876738117175	0.00020449897750511248	0.4836479471448797
ti|106284|org|Staphylococcus_phage_phiETA	2.974950809625408e-06	2.3596035865974516e-05	3.0	2.3596035865974516e-05	0.0	2.1502755327050907e-05	5.6368307902050224e-05	7.166666666666665	7.865345288658172e-06	0.00011798017932987259
ti|681288|org|Staphylococcus_aureus_subsp._aureus_ED98	1.1775874527807672e-06	0.0005348434796287557	68.0	0.0005348434796287557	0.0	3.91956589391792e-05	0.014267777336697254	1814.005210587689	0.0005899008966493629	0.24059304703476483
ti|273036|org|Staphylococcus_aureus_RF122	6.952051383595213e-07	0.0003224791568349851	41.0	0.0003224791568349851	0.0	0.00036029100592257135	0.0058456400979331755	743.2146820512239	0.00035394053798961777	0.08486707566462168
