Total Number of Aligned Reads:	123450	Total Number of Mapped Genomes:	6968
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|1280|org|Staphylococcus_aureus	0.37137502914305187	0.31906844876468204	39389.0	0.281044957472661	0.03802349129202106	0.35029292778461546	0.05287474584687688	6527.387374796951	0.04447144592952612	0.12212231672742001
ti|418127|org|Staphylococcus_aureus_subsp._aureus_Mu3	0.20142554497749662	0.595722964763062	73542.0	0.5251113811259619	0.07061158363710004	0.18767397207262398	0.07529987912536404	9295.770078026191	0.012037262049412717	0.6150506277845281
ti|93061|org|Staphylococcus_aureus_subsp._aureus_NCTC_8325	0.1179681291946355	0.03266909680032402	4033.0	0.01680032401782098	0.015868772782503038	0.11997822956975537	0.030154874186734914	3722.619218352425	0.014167679222357229	0.29301741595787767
ti|158879|org|Staphylococcus_aureus_subsp._aureus_N315	0.07913878731833947	0.010643985419198056	1314.0	0.008221952207371406	0.0024220332118266505	0.07754658793291007	0.07681864165067755	9483.261311776143	0.005046577561765897	0.6343944916970433
ti|681288|org|Staphylococcus_aureus_subsp._aureus_ED98	0.06956794723669342	0.005783718104495747	714.0	0.005548805184285135	0.00023491292021061158	0.06862213545105919	0.07041822020287417	8693.129284044815	0.005257189145402998	0.6001539084649655
ti|874268|org|Staphylococcus_phage_phi7247PVL	0.03743160831271244	0.003880113406237343	479.0	0.003880113406237343	0.0	0.030900306764828175	0.0032300663807881312	398.7516947082948	0.0037505062778452813	0.0005265289590927501
ti|46170|org|Staphylococcus_aureus_subsp._aureus	0.019367240500965412	0.003313082219522074	409.0	0.003313082219522074	0.0	0.0193672997392058	0.004493889704195686	554.7706839829575	0.003361684892669097	0.016265694613203725
ti|273036|org|Staphylococcus_aureus_RF122	0.014789556151607175	0.004285135682462535	529.0	0.004285135682462535	0.0	0.01487152811938916	0.009588653272773385	1183.7192465238743	0.0038963142972863506	0.08981773997569867
ti|1118959|org|Staphylococcus_aureus_subsp._aureus_M013	0.012370743602250534	0.0020089104900769543	248.0	0.0020089104900769543	0.0	0.020151299213563914	0.009311800654358781	1149.5417907805916	0.003142972863507493	0.10811664641555285
ti|1123523|org|Staphylococcus_aureus_subsp._aureus_11819-97	0.009499976232617948	0.001587687322802754	196.0	0.0015309842041312273	5.670311867152693e-05	0.009516623764389474	0.022064879526483207	2723.909377544352	0.0015552855407047388	0.28201701093560144
