Total Number of Aligned Reads:	121380	Total Number of Mapped Genomes:	7146
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|1280|org|Staphylococcus_aureus	0.471048914923539	0.3900065908716428	47339.0	0.3688993244356566	0.02110726643598616	0.4504324829197888	0.05348752475870263	6492.315755211325	0.04482616576042182	0.12506178942165103
ti|93061|org|Staphylococcus_aureus_subsp._aureus_NCTC_8325	0.16500204589293144	0.4038886142692371	49024.0	0.25364145658263304	0.15024715768660404	0.16546540291435022	0.030154075401718005	3660.1016722605314	0.014195089800626132	0.2929724831108914
ti|418127|org|Staphylococcus_aureus_subsp._aureus_Mu3	0.0972529956833068	0.1320893063107596	16033.0	0.03399242049761081	0.0980968858131488	0.09586334963505026	0.06435418911129881	7811.31147432945	0.005264458724666337	0.6032871972318339
ti|681288|org|Staphylococcus_aureus_subsp._aureus_ED98	0.09540559485922546	0.036439281594990935	4423.0	0.02544900313066403	0.010990278464326908	0.0932526500562607	0.07003554632912184	8500.91461342881	0.004712473224583951	0.6041440105453947
ti|46170|org|Staphylococcus_aureus_subsp._aureus	0.029619809957437307	0.004020431702092602	488.0	0.00397923875432526	4.119294776734223e-05	0.04577938332032153	0.006025861020751242	731.4190106987858	0.005140879881364311	0.015991102323282255
ti|874268|org|Staphylococcus_phage_phi7247PVL	0.026918700402179176	0.004333498105124403	526.0	0.004308782336463997	2.4715768660405338e-05	0.021666819732324254	0.0034245345491493826	415.67000357575205	0.0038968528587905752	0.0007826660075795024
ti|273036|org|Staphylococcus_aureus_RF122	0.021044318436165083	0.004185203493161971	508.0	0.00413577195584116	4.9431537320810677e-05	0.020961919592065132	0.009190957735058366	1115.5984498813846	0.0036661723512934584	0.08811171527434503
ti|1123523|org|Staphylococcus_aureus_subsp._aureus_11819-97	0.016173138516262814	0.002232657768989949	271.0	0.0021667490525622015	6.590871642774756e-05	0.01617905996265176	0.02246667786352585	2727.0053590747675	0.0017053880375679684	0.2871478002965892
ti|1118959|org|Staphylococcus_aureus_subsp._aureus_M013	0.014772438035096822	0.001606524962926347	195.0	0.001606524962926347	0.0	0.019948663743018735	0.008851335470550913	1074.3750994154698	0.0026693030153237766	0.10892239248640632
ti|985006|org|Staphylococcus_aureus_subsp._aureus_LGA251	0.00930248542773147	0.00254572417202175	309.0	0.00254572417202175	0.0	0.009240599172130555	0.009089689536685132	1103.3065159628413	0.002455099686933597	0.10912011863568957
