Total Number of Aligned Reads:	122910	Total Number of Mapped Genomes:	8206
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|548473|org|Staphylococcus_aureus_subsp._aureus_TCH60	0.49831831327785475	0.8927589292978603	109729.0	0.8919209177446913	0.0008380115531689854	0.274705143371661	0.32328432373461885	39734.876230222006	0.02244731917663331	0.7674802701163453
ti|1280|org|Staphylococcus_aureus	0.18565031305069274	0.046513709218127086	5717.0	0.04616385973476528	0.00034984948336180946	0.18139218479428096	0.054294443606502325	6673.330063675201	0.043739321454722965	0.07315108616060532
ti|282458|org|Staphylococcus_aureus_subsp._aureus_MRSA252	0.10894442157749626	0.006085753803596127	748.0	0.006077617769099341	8.136034496786266e-06	0.23760870325840283	0.2464179299069355	30287.227764861444	0.009787649499633878	0.6873321942885038
ti|1229492|org|Staphylococcus_aureus_08BA02176	0.0555904596805166	0.010129362948498902	1245.0	0.010121226914002116	8.136034496786266e-06	0.046965885450497055	0.02829967419934555	3478.3129558415617	0.005768448458221463	0.16057277682857377
ti|1123523|org|Staphylococcus_aureus_subsp._aureus_11819-97	0.03047187300970659	0.004247010007322431	522.0	0.004157513627857782	8.949637946464892e-05	0.032151378696215184	0.01154778257063039	1419.3379557561811	0.00446668293873566	0.09144089170938084
ti|93061|org|Staphylococcus_aureus_subsp._aureus_NCTC_8325	0.02881181634234727	0.01320478398828411	1623.0	0.01320478398828411	0.0	0.03031514966509646	0.01833215381802488	2253.205025773438	0.014238060369375966	0.0885688715320153
ti|874268|org|Staphylococcus_phage_phi7247PVL	0.024506146996695625	0.0021804572451387194	268.0	0.0021804572451387194	0.0	0.02504853657824605	0.0022853611984626097	280.89374490303936	0.002204865348629078	0.0008949637946464893
ti|186153|org|Staphylococcus_phage_phi13	0.014558519418980722	0.0016272068993572533	200.0	0.0016272068993572533	0.0	0.011501717058075752	0.0014905648842149322	183.2053299188573	0.0015783906923765357	0.0009112358636400618
ti|681288|org|Staphylococcus_aureus_subsp._aureus_ED98	0.012081713185440554	0.0022536815556097956	277.0	0.0022536815556097956	0.0	0.018203231933822606	0.0072267703553534485	888.2423443764924	0.0020909608656740704	0.08403710031730535
ti|46170|org|Staphylococcus_aureus_subsp._aureus	0.009897081619981754	0.004426002766251729	544.0	0.004426002766251729	0.0	0.01045247402029086	0.00605459707754312	744.1705268008249	0.004743308111626393	0.008827597429013099
ti|418127|org|Staphylococcus_aureus_subsp._aureus_Mu3	0.007103383241185824	0.004686355870148889	576.0	0.004686355870148889	0.0	0.007210685521379698	0.009635833808534928	1184.340333407028	0.004637539663168172	0.08685216825319339
ti|176280|org|Staphylococcus_epidermidis_ATCC_12228	0.005377032461599064	0.0029208363843462697	359.0	0.0029208363843462697	0.0	0.005846738532575233	0.0029622845531555165	364.0943944283445	0.002562850866487674	0.0018875600032544138
ti|93062|org|Staphylococcus_aureus_subsp._aureus_COL	0.003845441595815373	0.0010088682776014971	124.0	0.0010088682776014971	0.0	0.004173234828447467	0.005701229790106742	700.7381535020196	0.0010251403465950696	0.08504596859490685
ti|196596|org|Staphylococcus_phage_phi3A	0.003197591639305376	0.00022780896591001546	28.0	0.0002196729314132292	8.136034496786266e-06	0.009446422293034738	0.0011105687088113253	136.5	0.0010902286225693597	4.88162069807176e-05
ti|685039|org|Staphylococcus_aureus_subsp._aureus_ED133	0.0028582392114517405	0.0010902286225693597	134.0	0.0010902286225693597	0.0	0.004559046363940398	0.013577016095307752	1668.7510482742757	0.0009437800016272069	0.1037913920755024
ti|985006|org|Staphylococcus_aureus_subsp._aureus_LGA251	0.0025106642093570097	0.0008217394841754129	101.0	0.0008217394841754129	0.0	0.004053232176513287	0.01298576435104306	1596.0802963867025	0.0007078350012204052	0.10293710845333984
ti|872294|org|Staphylococcus_phage_SAP-26	0.00234719582725284	0.00017085672443251158	21.0	0.00017085672443251158	0.0	0.00234719582725284	0.00018157039402036688	22.316817129043294	0.00017085672443251158	0.00018712879342608414
ti|663951|org|Staphylococcus_aureus_subsp._aureus_TW20	0.0016236040828069673	0.0006834268977300463	84.0	0.0006834268977300463	0.0	0.044188705795217886	0.03015619184872129	3706.4975401263337	0.0020990969001708566	0.19913758034334064
ti|523796|org|Staphylococcus_aureus_subsp._aureus_ST398	0.0006916026424579854	0.00040680172483931334	50.0	0.00040680172483931334	0.0	0.005073046886420319	0.022959130045107096	2821.9066738441134	0.00046375396631681716	0.15972662924090797
ti|1155084|org|Staphylococcus_aureus_subsp._aureus_71193	0.0003126064798414224	0.0008298755186721991	102.0	0.0008298755186721991	0.0	0.007454900301360659	0.023434038202401367	2880.277635457152	0.0011065006915629322	0.15999511837930191
ti|1074252|org|Staphylococcus_aureus_subsp._aureus_HO_5096_0412	0.0002767179167689712	0.00039866569034252705	49.0	0.00039866569034252705	0.0	0.0035338974021536956	0.009866614442675031	1212.705581149188	0.0007810593116914816	0.09393051826539744
ti|703339|org|Staphylococcus_aureus_04-02981	0.00027532075595082403	5.6952241477503866e-05	7.0	5.6952241477503866e-05	0.0	0.00035976100350654916	0.004346162219398179	534.1867983862302	7.32243104710764e-05	0.07607192254495158
ti|1006543|org|Staphylococcus_aureus_subsp._aureus_T0131	0.00025633970577709975	3.2544137987145065e-05	4.0	3.2544137987145065e-05	0.0	0.0006786889692016541	0.02395242582866362	2943.9926586010456	6.508827597429013e-05	0.17817101944512245
ti|985002|org|Staphylococcus_aureus_subsp._aureus_MSHR1132	0.00016434859038400777	0.0012936294849890163	159.0	0.0012936294849890163	0.0	0.0003233044335245551	0.0022769171764888763	279.85589016224776	0.0015458465543893905	0.011154503295093971
ti|948563|org|Staphylococcus_aureus_O46	0.00013964523538688604	9.76324139614352e-05	12.0	9.76324139614352e-05	0.0	0.00025005348664293415	0.0001320749599978304	16.233333333333334	0.000122040517451794	4.068017248393133e-05
ti|282459|org|Staphylococcus_aureus_subsp._aureus_MSSA476	4.732548834944613e-05	0.00011390448295500773	14.0	0.00011390448295500773	0.0	0.00017840234807814018	0.006317094702040655	776.434109827817	5.6952241477503866e-05	0.09286469774631845
ti|1118959|org|Staphylococcus_aureus_subsp._aureus_M013	4.12806232214584e-05	0.0006346106907493288	78.0	0.0006346106907493288	0.0	0.006065781428509076	0.01269889825270833	1560.8215842403808	0.0008624196566593442	0.0985761939630624
ti|561307|org|Staphylococcus_aureus_subsp._aureus_RN4220	2.921870735727927e-05	0.00016272068993572532	20.0	0.00016272068993572532	0.0	2.9218758588230318e-05	0.00028873900523216733	35.488911133085686	0.00016272068993572532	0.0015702546578797495
ti|451516|org|Staphylococcus_aureus_subsp._aureus_USA300_TCH1516	2.1890337815246322e-05	0.00010576844845822147	13.0	0.00010576844845822147	0.0	0.000200493630306757	0.005352718769536264	657.9026639637023	0.0002603531038971605	0.09338540395411277
ti|273036|org|Staphylococcus_aureus_RF122	2.13997050184649e-05	0.000366121552355382	45.0	0.000366121552355382	0.0	0.00030976789453337155	0.01021135965527293	1255.0782152295958	0.0005776584492718249	0.08577007566512082
ti|546342|org|Staphylococcus_aureus_subsp._aureus_str._JKD6008	1.930543248974158e-05	3.2544137987145065e-05	4.0	3.2544137987145065e-05	0.0	0.00014018054944944168	0.0248436016097971	3053.5270738601616	0.000122040517451794	0.18090472703604263
ti|129009|org|Staphylococcus_prophage_phiPV83	8.812795690703985e-06	5.6952241477503866e-05	7.0	5.6952241477503866e-05	0.0	0.006995273457215808	0.0012570445526854782	154.50334597057213	0.0011227727605565047	0.0012366772435115124
ti|869816|org|Staphylococcus_aureus_subsp._aureus_JKD6159	1.775438157951151e-07	0.00013831258644536652	17.0	0.00013017655194858026	8.136034496786266e-06	0.003980455621712575	0.010816642118929987	1329.4734828376847	0.0004312098283296721	0.08961841998210072
ti|426430|org|Staphylococcus_aureus_subsp._aureus_str._Newman	1.3588540292711311e-07	0.00017085672443251158	21.0	0.00017085672443251158	0.0	6.748216760917336e-05	0.004801203400537835	590.1159099601053	0.00013831258644536652	0.08646163859734765
ti|158879|org|Staphylococcus_aureus_subsp._aureus_N315	4.507347684148864e-08	5.6952241477503866e-05	7.0	5.6952241477503866e-05	0.0	0.0002490345218299825	0.005184981268236975	637.2860476790066	0.000122040517451794	0.08908144170531283
ti|320844|org|Staphylococcus_phage_71	1.6652331349215232e-08	8.136034496786266e-06	1.0	8.136034496786266e-06	0.0	1.0316838801794661e-06	1.6272068993572533e-05	2.0	1.6272068993572533e-05	8.136034496786266e-06
