Total Number of Aligned Reads:	133720	Total Number of Mapped Genomes:	7533
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|663951|org|Staphylococcus_aureus_subsp._aureus_TW20	0.43455153246478095	0.868321866586898	116112.0	0.8645677535148071	0.0037541130720909364	0.32196146701707257	0.14238236918000638	19039.37040675045	0.04377804367334729	0.6228761591384984
ti|1280|org|Staphylococcus_aureus	0.21982147224418983	0.054860903380197425	7336.0	0.05231079868381693	0.0025501046963804968	0.19881112852812172	0.05921772020110653	7918.593545291965	0.04392013161830691	0.15513012264433143
ti|93061|org|Staphylococcus_aureus_subsp._aureus_NCTC_8325	0.08923427176024842	0.01252617409512414	1675.0	0.012458869279090637	6.730481603350285e-05	0.09175817544301249	0.05106128984478422	6827.9156780445455	0.012832784923721209	0.45266227938976966
ti|1028799|org|Staphylococcus_aureus_subsp._aureus_VC40	0.05289622437720014	0.007164223751121747	958.0	0.007164223751121747	0.0	0.04094324306297705	0.04646722917927872	6213.597885853151	0.006461262339216273	0.45003739156446304
ti|158879|org|Staphylococcus_aureus_subsp._aureus_N315	0.0331300216753463	0.0062294346395453185	833.0	0.0059602153754113076	0.0002692192641340114	0.029721711055473686	0.01809295438508492	2419.3898603735556	0.005130122644331439	0.23170804666467246
ti|418127|org|Staphylococcus_aureus_subsp._aureus_Mu3	0.02885471771290792	0.007433443015255758	994.0	0.007433443015255758	0.0	0.0368906970303002	0.0197584294032523	2642.0971798028977	0.006573437032605444	0.21455279688902185
ti|359786|org|Staphylococcus_aureus_subsp._aureus_JH9	0.022194980130242035	0.003888722704157942	520.0	0.003888722704157942	0.0	0.015056875862933557	0.014607557191467248	1953.3225476430005	0.0021687107388573138	0.21769368830391864
ti|985002|org|Staphylococcus_aureus_subsp._aureus_MSHR1132	0.012181873908156338	0.005317080466646725	711.0	0.005317080466646725	0.0	0.011448253582430432	0.005449617415909267	728.7228408553872	0.005055339515405324	0.008368232126832187
ti|282458|org|Staphylococcus_aureus_subsp._aureus_MRSA252	0.012050154033219173	0.0022509721806760396	301.0	0.0022509721806760396	0.0	0.026237603833471318	0.028788177995455366	3849.5551615522913	0.002684714328447502	0.18890966198025724
ti|283734|org|Staphylococcus_pseudintermedius	0.011273703939630403	0.0013909661980257254	186.0	0.0013909661980257254	0.0	0.011273704046203616	0.002001077383069103	267.58406766400043	0.0013909661980257254	0.003888722704157942
ti|874268|org|Staphylococcus_phage_phi7247PVL	0.010732781309203528	0.003469937182171702	464.0	0.003469937182171702	0.0	0.006658095960842345	0.002850796011395093	381.2084426437518	0.003417588991923422	0.0003066108285970685
ti|282459|org|Staphylococcus_aureus_subsp._aureus_MSSA476	0.008691378042487109	0.0023556685611725993	315.0	0.002348190248279988	7.478312892611427e-06	0.025118574688207704	0.021133758205535827	2826.0061472442508	0.00450942267424469	0.24122046066407418
ti|320848|org|Staphylococcus_phage_88	0.00656723994537923	0.0018845348489380795	252.0	0.0018845348489380795	0.0	0.004577155244510213	0.0009780207785367824	130.78093850593854	0.0008525276697577027	0.0008674842955429255
ti|1314|org|Streptococcus_pyogenes	0.005972729413927322	0.0007627879150463655	102.0	0.0007627879150463655	0.0	0.005900766759355766	0.0008058305761819621	107.75566464705197	0.0007627879150463655	0.0003589590188453485
ti|93062|org|Staphylococcus_aureus_subsp._aureus_COL	0.005912807922185344	0.0010320071791803768	138.0	0.0010245288662877655	7.478312892611427e-06	0.005996753841187552	0.04023036354951243	5379.604213840802	0.0009946156147173197	0.44576727490278195
ti|681288|org|Staphylococcus_aureus_subsp._aureus_ED98	0.004590249332478626	0.001121746933891714	150.0	0.001121746933891714	0.0	0.004181551987374845	0.013836089486283969	1850.1618861058923	0.0011067903081064911	0.22720610230332036
ti|1123523|org|Staphylococcus_aureus_subsp._aureus_11819-97	0.004207389547376465	0.0010095722405025426	135.0	0.0010095722405025426	0.0	0.004206038617383082	0.019477357147051507	2604.5121977037275	0.0010095722405025426	0.2559228238109483
ti|1006543|org|Staphylococcus_aureus_subsp._aureus_T0131	0.0040863856165597075	0.001069398743643434	143.0	0.001069398743643434	0.0	0.010350879496329811	0.06724327084937383	8991.77017797827	0.002437930002991325	0.5724274603649416
ti|186153|org|Staphylococcus_phage_phi13	0.004019504032883903	0.0013012264433143882	174.0	0.0013012264433143882	0.0	0.005076760372250998	0.001564307450289859	209.17919225275995	0.0017050553395154054	0.0003066108285970685
ti|685039|org|Staphylococcus_aureus_subsp._aureus_ED133	0.00366929079367136	0.0010843553694286569	145.0	0.0010843553694286569	0.0	0.0037228724060608133	0.006982355201073541	933.6805374875538	0.0009572240502542627	0.09279090637152258
ti|1074252|org|Staphylococcus_aureus_subsp._aureus_HO_5096_0412	0.0033605466680406777	0.001331139694884834	178.0	0.0013236613819922226	7.478312892611427e-06	0.0056374952557643005	0.011778176100649643	1574.9777081788702	0.0017574035297636852	0.14644032306311697
ti|426430|org|Staphylococcus_aureus_subsp._aureus_str._Newman	0.0030318381349273274	0.00045617708644929704	61.0	0.00045617708644929704	0.0	0.0023711571832819877	0.04053619327745824	5420.499765061716	0.0003440023930601256	0.4663251570445707
ti|46170|org|Staphylococcus_aureus_subsp._aureus	0.0028644615618587774	0.0032530661082859707	435.0	0.0032530661082859707	0.0	0.0029054225095459813	0.004410643887910107	589.7913006913395	0.003432545617708645	0.012182171702064015
ti|548473|org|Staphylococcus_aureus_subsp._aureus_TCH60	0.002667770633612404	0.00045617708644929704	61.0	0.00045617708644929704	0.0	0.021559104647094395	0.02816697800013676	3766.4882981782876	0.0021612324259647022	0.18781034998504337
ti|1352|org|Enterococcus_faecium	0.002562275723081077	0.0018247083457971882	244.0	0.0018247083457971882	0.0	0.01069604024131828	0.0029187154941446095	390.29063587701717	0.001787316781334131	0.007553096021537541
