Total Number of Aligned Reads:	126200	Total Number of Mapped Genomes:	7011
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|1280|org|Staphylococcus_aureus	0.3465278583498165	0.365229793977813	46092.0	0.32075277337559427	0.0444770206022187	0.32133274976137083	0.06174729865566052	7792.509090344357	0.045332805071315374	0.18421553090332804
ti|93061|org|Staphylococcus_aureus_subsp._aureus_NCTC_8325	0.14533099929603466	0.43971473851030113	55492.0	0.04521394611727417	0.39450079239302693	0.14876192145449924	0.06887816503860485	8692.424427871932	0.014397781299524565	0.5964659270998415
ti|451515|org|Staphylococcus_aureus_subsp._aureus_USA300_FPR3757	0.13466851068227662	0.11502377179080824	14516.0	0.039286846275752775	0.07573692551505547	0.104491017137922	0.07786827179715461	9826.975900800911	0.008969889064976228	0.6358003169572107
ti|1028799|org|Staphylococcus_aureus_subsp._aureus_VC40	0.11284459594446655	0.020713153724247226	2614.0	0.01242472266244057	0.008288431061806656	0.08153089227376652	0.0650424761345873	8208.360488184917	0.008518225039619652	0.5894928684627575
ti|985002|org|Staphylococcus_aureus_subsp._aureus_MSHR1132	0.0298238786578497	0.0068462757527733755	864.0	0.0068462757527733755	0.0	0.02950898567979176	0.0076750013371302715	968.5851687458403	0.006545166402535657	0.013264659270998415
ti|1229492|org|Staphylococcus_aureus_08BA02176	0.02683044883284286	0.006481774960380349	818.0	0.006394611727416798	8.716323296354992e-05	0.027033948236728306	0.010080286137028889	1272.1321104930457	0.0048098256735340725	0.09528526148969889
ti|418127|org|Staphylococcus_aureus_subsp._aureus_Mu3	0.026320171983295376	0.005625990491283677	710.0	0.005475435816164818	0.00015055467511885897	0.02795125432226427	0.020153986618320578	2543.433111232057	0.005166402535657686	0.2531299524564184
ti|1123523|org|Staphylococcus_aureus_subsp._aureus_11819-97	0.025743119717011032	0.0043026941362916005	543.0	0.00427892234548336	2.377179080824089e-05	0.029266825686069163	0.028527285606712922	3600.143443567171	0.004659270998415214	0.3183359746434231
ti|93062|org|Staphylococcus_aureus_subsp._aureus_COL	0.025324006921075178	0.0028526148969889066	360.0	0.002844690966719493	7.923930269413629e-06	0.028445684069601917	0.05881600244351069	7422.579508371049	0.0026624405705229794	0.5819413629160063
ti|282459|org|Staphylococcus_aureus_subsp._aureus_MSSA476	0.021849790189914	0.002908082408874802	367.0	0.0028922345483359748	1.5847860538827258e-05	0.052459894634481176	0.02795775681645635	3528.2689102367913	0.005182250396196513	0.3051188589540412
