Total Number of Aligned Reads:	200888	Total Number of Mapped Genomes:	10086
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|994476|org|Yersinia_enterocolitica_subsp._palearctica_105.5R(r)	0.7999105996464406	0.7836754808649595	157431.0	0.7836705029668273	4.977898132292621e-06	0.3839654380941321	0.4350050861993421	87387.30175641344	0.1944018557604237	0.579392497311935
ti|930944|org|Yersinia_enterocolitica_subsp._palearctica_Y11	0.184556844496043	0.1741716777507865	34989.0	0.1741716777507865	0.0	0.3294218575968383	0.2813784257961687	56525.549201340735	0.18083210545179404	0.3126568037911672
ti|913028|org|Yersinia_enterocolitica_W22703	0.011813835076060713	0.01441599299111943	2896.0	0.01441599299111943	0.0	0.25838636896285366	0.23854638761275623	47921.106714751375	0.042834813428378	0.4935536219186811
ti|393305|org|Yersinia_enterocolitica_subsp._enterocolitica_8081	0.0017987331992925177	0.014958583887539326	3005.0	0.014958583887539326	0.0	0.022120303695981874	0.020770972866854396	4172.639197276646	0.01825395245111704	0.010767193660148939
ti|2665|org|Plasmid_pYV03	0.0007202481308868732	0.0007118394329178447	143.0	0.0007118394329178447	0.0	0.0007202481302591332	0.0007254930963664188	145.74285714285713	0.0007068615347855521	6.471267571980407e-05
ti|869729|org|Escherichia_coli_UM146	0.0004810992026662861	0.0005625024889490661	113.0	0.0005625024889490661	0.0	0.0013694758633322184	0.001619143473175088	325.2664940391971	0.0017771096332284656	0.00035343076739277607
ti|630|org|Yersinia_enterocolitica	0.00035532560967262025	0.0024043247978973357	483.0	0.0024043247978973357	0.0	0.0018469854401338929	0.00514655621210191	1033.8813843367284	0.002782645055951575	0.009238978933535104
ti|386656|org|Yersinia_pestis_Pestoides_F	0.00010061778189956891	0.004818605392059257	968.0	0.004818605392059257	0.0	0.00010280059570105358	0.002906808058529161	583.9428572618061	0.001797021225757636	0.004475130420931066
ti|633|org|Yersinia_pseudotuberculosis	8.273588910410592e-05	0.0009109553582095496	183.0	0.0009109553582095496	0.0	8.267063305218587e-05	0.0009722337830380445	195.3101002069467	0.000905977460077257	0.0011050933853689617
ti|632|org|Yersinia_pestis	8.010803130243279e-05	0.0003882760543188244	78.0	0.0003882760543188244	0.0	8.018345155338346e-05	0.000406383684014189	81.6376055142424	0.0003882760543188244	0.00018418223089482696
ti|34051|org|Yersinia_enterocolitica_(type_O:3)	7.646648492606605e-05	0.0008313089880928676	167.0	0.0008313089880928676	0.0	0.000513837512339369	0.0010225432413417772	205.4166666666669	0.0008313089880928676	0.0005873919796105292
ti|32630|org|synthetic_construct	1.823628465532002e-05	0.000497789813229262	100.0	0.000497789813229262	0.0	1.8239356631395462e-05	0.0005134300758763749	103.14194108265319	0.0004032097487157023	0.0004231213412448728
ti|547048|org|Yersinia_pestis_biovar_Medievalis_str._Harbin_35	3.0748061453749073e-06	0.0010154912189876946	204.0	0.0010154912189876946	0.0	3.3907433368391298e-06	0.0015507751187938768	311.5321120642643	0.000826331089960575	0.003529329775795468
ti|34054|org|Yersinia_enterocolitica_(type_O:8)	1.2730216781014921e-06	7.466847198438931e-05	15.0	7.466847198438931e-05	0.0	1.306190118005186e-05	0.0003940251876319761	79.15493189301242	0.00022400541595316793	0.0007715742105053562
ti|665029|org|Erwinia_amylovora_CFBP1430	6.689578375375588e-07	0.00011449165704273028	23.0	0.00011449165704273028	0.0	6.890795327631932e-07	0.00014130263765632726	28.38600427350427	0.00013938114770419338	3.982318505834097e-05
ti|563768|org|Yersinia_enterocolitica_(type_O:2.3)	6.147499059771283e-08	2.4889490661463104e-05	5.0	2.4889490661463104e-05	0.0	6.753814864116657e-08	4.829746402164865e-05	9.702380952380954	2.9867388793755725e-05	6.969057385209669e-05
ti|214092|org|Yersinia_pestis_CO92	3.868867159235352e-08	0.00032854127673131295	66.0	0.00032356337859902037	4.977898132292621e-06	5.061629479079513e-07	0.0020402461167419597	409.8609619000588	0.0009756680339293536	0.003937517422643463
ti|34045|org|Yersinia_enterocolitica_(type_O:13)	3.3218593931578833e-08	7.964637011668193e-05	16.0	7.964637011668193e-05	0.0	8.347530800705006e-08	0.00015016659365749404	30.166666666666664	0.00014933694396877863	4.977898132292621e-06
ti|77133|org|uncultured_bacterium	4.002140814262368e-17	1.4933694396877863e-05	3.0	1.4933694396877863e-05	0.0	2.5219687886081914e-14	0.0001047825661341631	21.049560145559756	5.973477758751145e-05	0.0002688064991438015
