Total Number of Aligned Reads:	202530	Total Number of Mapped Genomes:	8448
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|214092|org|Yersinia_pestis_CO92	0.8698032622529847	0.8827235471288204	178778.0	0.8826988594282329	2.4687700587567275e-05	0.27655206067116733	0.2699874259633472	54680.55338035671	0.05336987113020293	0.8000345627808226
ti|547048|org|Yersinia_pestis_biovar_Medievalis_str._Harbin_35	0.09952544385729763	0.08702908211129215	17626.0	0.08702414457117465	4.937540117513455e-06	0.24462224877586694	0.22372687306850286	45311.403602563885	0.02868710808275317	0.7508665382906237
ti|349746|org|Yersinia_pestis_Angola	0.024479724790132967	0.0217251765170592	4400.0	0.0217251765170592	0.0	0.2168671311941644	0.18861625316391778	38200.44975328827	0.02531476818249148	0.6509159136917988
ti|386656|org|Yersinia_pestis_Pestoides_F	0.0051115957085787036	0.005056041080333778	1024.0	0.005026415839628697	2.962524070508073e-05	0.23295790764287141	0.21018612596657954	42568.99609201135	0.025492519626721968	0.7274823482940799
ti|32630|org|synthetic_construct	0.0004647762352249473	0.001367698612551227	277.0	0.001367698612551227	0.0	0.020232816563729328	0.02112182769233045	4277.803762527686	0.0015503875968992248	0.11125265392781317
ti|1035377|org|Yersinia_pestis_A1122	0.0003849918575297469	0.0003110650274033477	63.0	0.0003110650274033477	0.0	0.0008822797227164621	0.009759358461880027	1976.5628692845619	0.0005776921937490742	0.07419147780575717
ti|637386|org|Yersinia_pestis_Z176003	0.00010800274665460011	0.00013331358317286327	27.0	0.00013331358317286327	0.0	0.0003337897431463175	0.006907928829034819	1399.0628257444218	0.00012343850293783636	0.06989088036340295
ti|633|org|Yersinia_pseudotuberculosis	5.2048579512447504e-05	0.00013331358317286327	27.0	0.00013331358317286327	0.0	0.0004674311676824956	0.0015109939736919543	306.0216094918315	0.00014812620352540364	0.025690021231422507
ti|1177632|org|Salmonella_phage_SSU5	3.656217334530105e-05	0.00081469411938972	165.0	0.00081469411938972	0.0	0.00014106886903618546	0.0005826297338665877	118.0	0.0006122549745716684	4.937540117513455e-06
ti|220341|org|Salmonella_enterica_subsp._enterica_serovar_Typhi_str._CT18	1.6070974366024574e-05	0.0003950032094010764	80.0	0.0003950032094010764	0.0	0.00013190024192363383	0.0006518796089438558	132.0251771993991	0.0006813805362168567	4.937540117513455e-06
ti|360102|org|Yersinia_pestis_Antiqua	1.1115604758510962e-05	0.00014318866340789019	29.0	0.00013825112329037673	4.937540117513455e-06	1.5781038379076183e-05	0.006793808464629774	1375.9500283414682	0.00016787636399545746	0.0712635165160717
ti|229193|org|Yersinia_pestis_biovar_Microtus_str._91001	4.83644574367165e-06	2.4687700587567275e-05	5.0	2.4687700587567275e-05	0.0	0.003243045972113497	0.008603692519685378	1742.5058460118796	0.00044437861057621095	0.08021033920900607
ti|502801|org|Yersinia_pseudotuberculosis_PB1/+	1.5462856979309957e-06	4.4437861057621094e-05	9.0	4.4437861057621094e-05	0.0	9.196079889272032e-06	0.003237937278644248	655.7794370438196	3.950032094010764e-05	0.04631906384239372
ti|913028|org|Yersinia_enterocolitica_W22703	1.5138860901042563e-08	4.4437861057621094e-05	9.0	4.4437861057621094e-05	0.0	6.141753921925846e-08	0.00016395982487719222	33.20678333237774	8.393818199772873e-05	0.0009183824618575026
ti|632|org|Yersinia_pestis	4.930036612589532e-09	1.975016047005382e-05	4.0	1.975016047005382e-05	0.0	0.001338428705676271	0.0029691841917647444	601.3488743581137	7.900064188021528e-05	0.034212215474250726
ti|393305|org|Yersinia_enterocolitica_subsp._enterocolitica_8081	2.420318502883561e-09	2.4687700587567275e-05	5.0	2.4687700587567275e-05	0.0	1.046852759013924e-06	0.0005206680196095774	105.45089401152771	0.00042956599022367056	0.000987508023502691
ti|77133|org|uncultured_bacterium	1.841318778649135e-17	9.87508023502691e-06	2.0	9.87508023502691e-06	0.0	6.320343316852937e-14	2.2929566702855778e-05	4.643925144329381	1.975016047005382e-05	5.925048141016146e-05
