Total Number of Aligned Reads:	212140	Total Number of Mapped Genomes:	15162
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|214092|org|Yersinia_pestis_CO92	0.8584291465190796	0.874328273781465	185480.0	0.8742952767040634	3.299707740171585e-05	0.2693601629319591	0.25157333108618163	53368.766456622565	0.05017912699160931	0.7770246063920053
ti|547048|org|Yersinia_pestis_biovar_Medievalis_str._Harbin_35	0.10635904721568598	0.08865371924200999	18807.0	0.0886442915056095	9.427736400490242e-06	0.24549663000443764	0.2203656971992441	46748.37900384764	0.032209861412274915	0.7342462524747808
ti|386656|org|Yersinia_pestis_Pestoides_F	0.025038904474588335	0.0221268973319506	4694.0	0.02209861412274913	2.8283209201470725e-05	0.23578716805287223	0.20927728649392915	44396.08355682213	0.029183558027717545	0.7216696521165268
ti|349746|org|Yersinia_pestis_Angola	0.008036455957412683	0.008489676628641463	1801.0	0.008489676628641463	0.0	0.21910546656456212	0.18686007613371008	39640.49655100526	0.02860846610728764	0.6457103799377769
ti|32630|org|synthetic_construct	0.0008081409165626743	0.0016969925520882436	360.0	0.0016969925520882436	0.0	0.02073842993040982	0.021198249062030345	4496.996556019118	0.0018761195436975582	0.11634298105024983
ti|633|org|Yersinia_pseudotuberculosis	0.000798263136052777	0.0011219006316583388	238.0	0.0011219006316583388	0.0	0.0011431517399523943	0.002910942778437916	617.5274010178194	0.0010653342132553973	0.03592438955406807
ti|632|org|Yersinia_pestis	0.0002829100865495736	0.0002828320920147073	60.0	0.0002828320920147073	0.0	0.0021149268781672213	0.004359375410324917	924.7978995463279	0.00041010653342132554	0.052201376449514475
ti|637386|org|Yersinia_pestis_Z176003	9.616996593814652e-05	9.427736400490242e-05	20.0	9.427736400490242e-05	0.0	0.00041722545681328557	0.007827286715520194	1660.480603830454	8.484962760441218e-05	0.08199302347506364
ti|2665|org|Plasmid_pYV03	5.753613477228081e-05	0.0005750919204299048	122.0	0.0005750919204299048	0.0	5.753613477234409e-05	0.0005750919204299048	122.0	0.0005750919204299048	0.0
ti|1177632|org|Salmonella_phage_SSU5	3.098180565715572e-05	0.0006552276798340718	139.0	0.0006552276798340718	0.0	0.00012872382546590968	0.0004996700292259829	106.0	0.000504383897426228	2.3569341001225606e-05
ti|880632|org|Yersinia_pestis_Java_9	1.61376902878117e-05	1.4141604600735363e-05	3.0	1.4141604600735363e-05	0.0	0.00026664903440856225	0.0017239448474380907	365.71765993551656	5.656641840294145e-05	0.025751861977939095
ti|630|org|Yersinia_enterocolitica	1.5713364925114676e-05	0.0008909210898463279	189.0	0.0008909210898463279	0.0	1.7284294072257365e-05	0.0009461928077483443	200.72534223573376	0.000895634958046573	0.0006363722070330914
ti|220341|org|Salmonella_enterica_subsp._enterica_serovar_Typhi_str._CT18	1.551624975194263e-05	0.0004949561610257377	105.0	0.0004949561610257377	0.0	0.00013112945489753106	0.0007448659574186061	158.0158642067831	0.0007542189120392194	1.8855472800980484e-05
ti|1035377|org|Yersinia_pestis_A1122	1.0743748461816625e-05	0.00010841896860563779	23.0	0.00010841896860563779	0.0	6.696244085507566e-05	0.006974423762144655	1479.5542569013671	0.00010841896860563779	0.07769868954464033
ti|502801|org|Yersinia_pseudotuberculosis_PB1/+	2.0600006804907473e-06	6.59941548034317e-05	14.0	6.59941548034317e-05	0.0	2.0499333082422603e-05	0.004210922717729303	893.3051453390942	6.128028660318657e-05	0.0629018572640709
ti|502800|org|Yersinia_pseudotuberculosis_YPIII	1.0430396725669112e-06	4.242481380220609e-05	9.0	4.242481380220609e-05	0.0	0.00024724368025790677	0.0031144684407286806	660.7033350161823	0.0002262656736117658	0.032365419062883004
ti|216592|org|Escherichia_coli_042	6.778077734400843e-07	5.1852550202696335e-05	11.0	5.1852550202696335e-05	0.0	7.418890438669911e-08	0.000549448495852942	116.56000391024311	0.0	0.014683699443763552
ti|34045|org|Yersinia_enterocolitica_(type_O:13)	5.22294682082377e-07	0.00016498538700857924	35.0	0.00016498538700857924	0.0	5.222948812800061e-07	0.00016498538700857924	35.0	0.00016498538700857924	0.0
ti|1133852|org|Escherichia_coli_O104:H4_str._2011C-3493	1.40576247499738e-08	9.427736400490242e-06	2.0	9.427736400490242e-06	0.0	2.984318410397247e-08	0.00043816109407728536	92.95149449755532	9.427736400490242e-06	0.011756387291411333
ti|637382|org|Yersinia_pestis_D106004	1.0029360962198866e-08	3.299707740171585e-05	7.0	3.299707740171585e-05	0.0	0.0006361944033869207	0.008157786784882834	1730.5928885450446	0.00045724521542377675	0.08631092674648817
ti|393305|org|Yersinia_enterocolitica_subsp._enterocolitica_8081	5.505401880426115e-09	9.899123220514754e-05	21.0	9.899123220514754e-05	0.0	8.855640498980184e-07	0.0005180924642380089	109.9081353634512	0.00038653719242009993	0.0014942962194777034
