Total Number of Aligned Reads:	205450	Total Number of Mapped Genomes:	9766
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|386656|org|Yersinia_pestis_Pestoides_F	0.850743271876522	0.8707422730591384	178894.0	0.8707422730591384	0.0	0.27375517435967345	0.28955995075701463	59490.09188302866	0.05841810659527866	0.7952737892431249
ti|214092|org|Yersinia_pestis_CO92	0.13124125236625347	0.10689218788026283	21961.0	0.1068824531516184	9.734728644439036e-06	0.24900234196219329	0.2225451125995589	45721.89338357937	0.03554149428084692	0.7290678997322949
ti|349746|org|Yersinia_pestis_Angola	0.010759349659234106	0.011706011194937941	2405.0	0.011701143830615721	4.867364322219518e-06	0.21839309197624995	0.18615552482821024	38245.65257595579	0.02605500121684108	0.6408761255779996
ti|547048|org|Yersinia_pestis_biovar_Medievalis_str._Harbin_35	0.005608861216250614	0.004273545874908737	878.0	0.004273545874908737	0.0	0.22710434254840126	0.19650723359855513	40372.41114282315	0.01786322706254563	0.6939401314188367
ti|633|org|Yersinia_pseudotuberculosis	0.000743685814351092	0.001051350693599416	216.0	0.001051350693599416	0.0	0.0012000508380386036	0.002386563351934067	490.3194406548541	0.0011048917011438307	0.021187636894621564
ti|32630|org|synthetic_construct	0.0003700656039250996	0.0011486979800438063	236.0	0.0011438306157215868	4.867364322219518e-06	0.018693232941627044	0.018571652303178993	3815.5459656881244	0.0012703820880992942	0.0989778534923339
ti|632|org|Yersinia_pestis	0.0003659260998034627	0.0004331954246775371	89.0	0.0004331954246775371	0.0	0.005185737796683062	0.007009781589561948	1440.1596275755023	0.006244828425407641	0.03592114869798004
ti|2665|org|Plasmid_pYV03	6.666394614182638e-05	0.0005986858116330008	123.0	0.0005986858116330008	0.0	6.666394614187616e-05	0.0005986858116330008	123.0	0.0005986858116330008	0.0
ti|1177632|org|Salmonella_phage_SSU5	4.050242312172871e-05	0.0008663908493550742	178.0	0.0008663908493550742	0.0	0.0001380486356378012	0.000798247748844001	164.0	0.000817717206132879	1.9469457288878072e-05
ti|220341|org|Salmonella_enterica_subsp._enterica_serovar_Typhi_str._CT18	2.2566631048897975e-05	0.0004575322462886347	94.0	0.0004575322462886347	0.0	0.00013483634586152938	0.0007642748097232108	157.02025965763366	0.0007641761985884643	4.3806278899975665e-05
ti|1035377|org|Yersinia_pestis_A1122	2.0918846435804526e-05	6.327573618885374e-05	13.0	6.327573618885374e-05	0.0	2.9012348704268805e-05	0.005164739383596459	1061.0957063598926	8.274519347773181e-05	0.05654417133122414
ti|630|org|Yersinia_enterocolitica	9.921611545358897e-06	0.0009345339498661475	192.0	0.0009345339498661475	0.0	1.0497128928752971e-05	0.0010102113079143553	207.54791321100427	0.000949136042832806	0.0007106351910440497
ti|229193|org|Yersinia_pestis_biovar_Microtus_str._91001	5.0759026828516986e-06	4.867364322219518e-06	1.0	4.867364322219518e-06	0.0	0.0033404874127208974	0.008756926312291836	1799.1105108603579	1.9469457288878072e-05	0.07961061085422244
ti|216592|org|Escherichia_coli_042	8.60690828335529e-07	3.8938914577756144e-05	8.0	3.8938914577756144e-05	0.0	1.1320717930544654e-07	0.0002622762673395497	53.884659124910485	0.0	0.0064297882696519836
ti|34045|org|Yersinia_enterocolitica_(type_O:13)	4.930584772407359e-07	0.00016062302263324408	33.0	0.00016062302263324408	0.0	4.930587120783839e-07	0.00017035775127768313	35.0	0.00017035775127768313	0.0
ti|393305|org|Yersinia_enterocolitica_subsp._enterocolitica_8081	4.644665789961152e-07	0.000413725967388659	85.0	0.000413725967388659	0.0	2.244516211889466e-06	0.0005339061737496072	109.69102339685679	0.0004331954246775371	0.001323923095643709
ti|502801|org|Yersinia_pseudotuberculosis_PB1/+	8.131763901883637e-08	0.00011194937941104892	23.0	0.00011194937941104892	0.0	0.00013982560675055258	0.003653070894646338	750.5234153050901	7.301046483329277e-05	0.04741786322706255
ti|913028|org|Yersinia_enterocolitica_W22703	3.160437243683427e-08	7.301046483329277e-05	15.0	7.301046483329277e-05	0.0	8.717367173481492e-08	0.00023024822368931477	47.30449755696972	0.00012655147237770748	0.0011973716232660016
ti|930944|org|Yersinia_enterocolitica_subsp._palearctica_Y11	3.4853537935494534e-09	4.867364322219518e-06	1.0	4.867364322219518e-06	0.0	7.892296390413981e-07	0.00028527791503775906	58.6103476445076	0.00019469457288878072	0.0010075444146994403
ti|377628|org|Yersinia_pestis_Nepal516	3.380091146250146e-09	9.734728644439036e-06	2.0	9.734728644439036e-06	0.0	0.00036787955683041917	0.005457530713676948	1121.2496851249289	5.35410075444147e-05	0.05623752737892431
ti|77133|org|uncultured_bacterium	3.151393080075789e-17	1.4602092966658555e-05	3.0	1.4602092966658555e-05	0.0	3.4607998592125186e-13	0.00011082180245728996	22.768339314850223	9.734728644439036e-05	9.247992212217085e-05
