Total Number of Aligned Reads:	205450	Total Number of Mapped Genomes:	13925
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|214092|org|Yersinia_pestis_CO92	0.8453986574373893	0.8605792163543441	176806.0	0.860467266974933	0.00011194937941104892	0.2668618103187676	0.2573897411879266	52880.72232705952	0.04990995376003894	0.7773570211730348
ti|547048|org|Yersinia_pestis_biovar_Medievalis_str._Harbin_35	0.10895808433403242	0.09146264297882696	18791.0	0.09143830615721586	2.433682161109759e-05	0.2464916541854026	0.22731879425893742	46702.646280498695	0.03400827451934777	0.7422146507666099
ti|386656|org|Yersinia_pestis_Pestoides_F	0.021518593602178185	0.020632757361888538	4239.0	0.02051594061815527	0.00011681674373326844	0.2309545301871027	0.20915175933626243	42970.22895563512	0.027549282063762472	0.7148697980043807
ti|637386|org|Yersinia_pestis_Z176003	0.013582447435312764	0.01282550498904843	2635.0	0.012806035531759552	1.9469457288878072e-05	0.013845391267119037	0.020051720070265566	4119.62588843606	0.0121197371623266	0.07228522754928206
ti|349746|org|Yersinia_pestis_Angola	0.008293444147738234	0.007515210513506936	1544.0	0.007510343149184717	4.867364322219518e-06	0.2126179658781922	0.18479511301645676	37966.15596923104	0.02444877099050864	0.6388172304697006
ti|32630|org|synthetic_construct	0.0009750347346118073	0.0019810172791433437	407.0	0.0019810172791433437	0.0	0.020192429180863457	0.02124848441257133	4365.5011225627795	0.00222438549525432	0.10595278656607447
ti|633|org|Yersinia_pseudotuberculosis	0.0006808227297083828	0.0011340958870771477	233.0	0.0011340958870771477	0.0	0.001125225084620353	0.002414450007315233	496.0487540029146	0.001080554879532733	0.022195181309321004
ti|632|org|Yersinia_pestis	0.000370603267729362	0.00038938914577756143	80.0	0.00038938914577756143	0.0	0.002149532700041086	0.003752137466754235	770.8766425446576	0.0005208079824774884	0.03540520807982477
ti|2665|org|Plasmid_pYV03	7.082038435815514e-05	0.0006181552689218788	127.0	0.0006181552689218788	0.0	7.082038435819438e-05	0.0006191548169523346	127.20535714285714	0.0006181552689218788	1.4602092966658555e-05
ti|1177632|org|Salmonella_phage_SSU5	4.377961444383359e-05	0.00080798247748844	166.0	0.00080798247748844	0.0	0.0001269530072000673	0.0005719153078607934	117.5	0.0005889510829885617	9.734728644439036e-06
ti|880632|org|Yersinia_pestis_Java_9	4.361886917671653e-05	2.433682161109759e-05	5.0	2.433682161109759e-05	0.0	0.00025208956776303883	0.0012561068754662888	258.067157564549	3.8938914577756144e-05	0.015794597225602336
ti|1035377|org|Yersinia_pestis_A1122	2.8396602880240712e-05	8.274519347773181e-05	17.0	8.274519347773181e-05	0.0	7.450899891058112e-05	0.006528824281623742	1341.3469486595977	0.00014115356534436603	0.06557799951326357
ti|220341|org|Salmonella_enterica_subsp._enterica_serovar_Typhi_str._CT18	1.59268869326497e-05	0.0004283280603553176	88.0	0.0004283280603553176	0.0	0.00012676386795575773	0.0007642240417032874	157.0098293679404	0.0007787782915551229	9.734728644439036e-06
ti|630|org|Yersinia_enterocolitica	1.233466449722462e-05	0.0008809929423217328	181.0	0.0008809929423217328	0.0	1.250150715215892e-05	0.000936830096157737	192.47174325560707	0.0008809929423217328	0.0004770017035775128
ti|502801|org|Yersinia_pseudotuberculosis_PB1/+	6.280596619551912e-06	5.35410075444147e-05	11.0	5.35410075444147e-05	0.0	2.5191476738871822e-05	0.0034944272958947085	717.9300879415679	4.3806278899975665e-05	0.04565587734241908
ti|34045|org|Yersinia_enterocolitica_(type_O:13)	8.818981652049397e-07	0.00015088829398880507	31.0	0.00015088829398880507	0.0	8.818982353670798e-07	0.00015575565831102458	32.0	0.00015575565831102458	0.0
ti|393305|org|Yersinia_enterocolitica_subsp._enterocolitica_8081	2.475265993505347e-07	0.00035531759552202483	73.0	0.00035531759552202483	0.0	1.112354821530259e-06	0.0004597635413694378	94.458419574351	0.0003699196884886834	0.0009588707714772451
ti|273123|org|Yersinia_pseudotuberculosis_IP_32953	1.396154708236274e-08	1.4602092966658555e-05	3.0	1.4602092966658555e-05	0.0	0.000131823205027683	0.0038403627996698607	789.0025371921729	0.0002141640301776588	0.047296179119007055
ti|913028|org|Yersinia_enterocolitica_W22703	8.092618895270007e-09	5.35410075444147e-05	11.0	5.35410075444147e-05	0.0	3.220424931581364e-08	0.00023026771226259906	47.30850148435098	0.00014602092966658554	0.0010951569724993917
ti|1133852|org|Escherichia_coli_O104:H4_str._2011C-3493	3.2141519828569063e-09	4.867364322219518e-06	1.0	4.867364322219518e-06	0.0	3.5489279213312176e-09	0.00015071384834606692	30.96416014269945	9.734728644439036e-06	0.004035045023119981
ti|77133|org|uncultured_bacterium	1.5419149272942238e-17	4.867364322219518e-06	1.0	4.867364322219518e-06	0.0	3.8131973816649945e-15	1.2639125602791884e-05	2.5967083550935923	9.734728644439036e-06	6.327573618885374e-05
