Total Number of Aligned Reads:	208810	Total Number of Mapped Genomes:	14271
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|214092|org|Yersinia_pestis_CO92	0.8466253724608284	0.8625832096163977	180116.0	0.8624922178056607	9.099181073703367e-05	0.2631877402020354	0.2443985468904684	51032.860576198706	0.04946602174225372	0.7574349887457498
ti|386656|org|Yersinia_pestis_Pestoides_F	0.12422237235695077	0.10292131602892582	21491.0	0.10283990230352952	8.141372539629329e-05	0.23929773608570407	0.22062404113646916	46068.50602970613	0.03206742972079881	0.730324218188784
ti|547048|org|Yersinia_pestis_biovar_Medievalis_str._Harbin_35	0.01727464474640336	0.015281835161151286	3191.0	0.015272257075810546	9.578085340740385e-06	0.24186568030052916	0.2180802603664364	45537.339167115584	0.033106651980269144	0.7204635793304919
ti|349746|org|Yersinia_pestis_Angola	0.007491152036376013	0.007667257315262679	1601.0	0.007652890187251568	1.4367128011110579e-05	0.2219516231132536	0.1964751767862716	41025.981664741375	0.029672908385613716	0.6566735309611609
ti|229193|org|Yersinia_pestis_biovar_Microtus_str._91001	0.001863275207846864	0.002380154207173986	497.0	0.0023705761218332454	9.578085340740385e-06	0.006143434377845627	0.01628083822690134	3399.601830159269	0.003639672429481347	0.09144198074804846
ti|32630|org|synthetic_construct	0.000941287856658743	0.001810258129399933	378.0	0.001810258129399933	0.0	0.020542218828716194	0.020832240024323028	4349.980039478892	0.002025765049566592	0.10560317992433313
ti|633|org|Yersinia_pseudotuberculosis	0.0009078109878831498	0.0012499401369666203	261.0	0.0012499401369666203	0.0	0.0013116573299680912	0.0024915183171855706	520.253939811519	0.0012020497102629185	0.022747952684258416
ti|632|org|Yersinia_pestis	0.0002941522862462605	0.00035917820027776446	75.0	0.00035917820027776446	0.0	0.002388164048217499	0.004200538019538862	877.1143438599097	0.000569896077774053	0.039887936401513335
ti|585397|org|Escherichia_coli_ED1a	9.720635594795879e-05	0.001613907379914755	337.0	0.001613907379914755	0.0	7.679010664463468e-05	0.0007141971211228413	149.1315008616605	0.0002681863895407308	0.004645371390259087
ti|637386|org|Yersinia_pestis_Z176003	8.916961463479751e-05	0.00010056989607777405	21.0	0.00010056989607777405	0.0	0.0003642383740633794	0.006477288926817575	1352.522700808778	9.578085340740386e-05	0.06706096451319381
ti|2665|org|Plasmid_pYV03	6.658761418068498e-05	0.0005315837364110915	111.0	0.0005315837364110915	0.0	6.658761054720927e-05	0.0005277325479303354	110.19583333333333	0.000522005651070351	2.3945213351850965e-05
ti|1177632|org|Salmonella_phage_SSU5	3.099060093910715e-05	0.0008237153393036732	172.0	0.0008237153393036732	0.0	0.00012935808009905065	0.0007566687419184905	158.0	0.0007710358699296011	3.352329869259135e-05
ti|880632|org|Yersinia_pestis_Java_9	2.273539465479849e-05	2.8734256022221157e-05	6.0	2.8734256022221157e-05	0.0	0.00021640820474022317	0.0012928218422947532	269.9541288895674	4.310138403333174e-05	0.016359369761984578
ti|220341|org|Salmonella_enterica_subsp._enterica_serovar_Typhi_str._CT18	2.1421907949433066e-05	0.0005076385230592405	106.0	0.0005076385230592405	0.0	0.00014560442524717707	0.0007423908330690366	155.01862985314554	0.0007518796992481203	3.831234136296154e-05
ti|1035377|org|Yersinia_pestis_A1122	1.6578597671998423e-05	6.70465973851827e-05	14.0	6.70465973851827e-05	0.0	5.277242848988562e-05	0.0057997912642753025	1211.054413893326	0.000124515109429625	0.061759494277094006
ti|573|org|Klebsiella_pneumoniae	1.2923021610653542e-05	0.0006560988458407164	137.0	0.0006560988458407164	0.0	5.053678822018153e-05	0.0013494474720030512	281.7781266289571	0.0009769647047555194	0.006264067812844213
