Total Number of Aligned Reads:	201650	Total Number of Mapped Genomes:	10374
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|1081093|org|Salmonella_enterica_subsp._enterica_serovar_Gallinarum/pullorum	0.9510425924313138	0.9322787007190677	187994.0	0.9322787007190677	0.0	0.629432411364838	0.6592038363628394	132928.45360256656	0.4997123729233821	0.4126853458963551
ti|439851|org|Salmonella_enterica_subsp._enterica_serovar_Dublin_str._CT_02021853	0.04191252283364779	0.05015125216960079	10113.0	0.05015125216960079	0.0	0.2242871419657949	0.1412034206085202	28473.6697657081	0.06964542524175552	0.2620381849739648
ti|216597|org|Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str._SL1344	0.0045276669511328535	0.013270518224646664	2676.0	0.013265559137118771	4.959087527894867e-06	0.099979312439659	0.03631935976113099	7323.798895832064	0.02580709149516489	0.08672452268782543
ti|550537|org|Salmonella_enterica_subsp._enterica_serovar_Enteritidis_str.	0.0017603051097547055	0.0018398214728489958	371.0	0.0018398214728489958	0.0	0.010582863225493108	0.03182197862422482	6416.901989574935	0.001829903297793206	0.1522588643689561
ti|550538|org|Salmonella_enterica_subsp._enterica_serovar_Gallinarum_str._287/91	0.00043847710912168434	0.0004512769650384329	91.0	0.0004512769650384329	0.0	0.010577352101757842	0.032686336603759504	6591.199776148104	0.0012149764443342426	0.14677411356310438
ti|1016998|org|Salmonella_enterica_subsp._enterica_serovar_Paratyphi_B_str._SPB7	0.00019794398499503794	0.0004512769650384329	91.0	0.0004512769650384329	0.0	0.007156184016948892	0.0073624643668834325	1484.6409395820442	0.0006843540788494917	0.058477560128936276
ti|149539|org|Salmonella_enterica_subsp._enterica_serovar_Enteritidis	5.0531898100521714e-05	0.00010414083808579221	21.0	0.00010414083808579221	0.0	5.110558675751666e-05	0.0010239373177943051	206.47696013322164	8.926357550210761e-05	0.0063625092982891145
ti|454169|org|Salmonella_enterica_subsp._enterica_serovar_Heidelberg_str._SL476	4.2051494159318426e-05	0.0004264815273989586	86.0	0.0004264815273989586	0.0	0.004359574447210794	0.005667314148415125	1142.81389802791	0.0002529134639226382	0.05665757500619886
ti|295319|org|Salmonella_enterica_subsp._enterica_serovar_Paratyphi_A_str._ATCC	1.3486029691631213e-05	0.00028762707661790233	58.0	0.00028266798909000744	4.959087527894867e-06	0.00035219125088133585	0.003303428529091597	666.1363628913206	0.0003074634267294818	0.036875774857426234
ti|990282|org|Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str._UK-1	6.411373015553708e-06	3.967270022315894e-05	8.0	3.967270022315894e-05	0.0	0.005868427864388496	0.005266107974431771	1061.9106730441667	0.0002578725514505331	0.05848747830399206
ti|439843|org|Salmonella_enterica_subsp._enterica_serovar_Schwarzengrund_str.	1.7482567046883516e-06	0.0001983635011157947	40.0	0.0001983635011157947	0.0	0.0006822703141080283	0.0031391544632323656	633.0104975108065	0.00026779072650632283	0.03375154971485247
ti|220341|org|Salmonella_enterica_subsp._enterica_serovar_Typhi_str._CT18	1.6538445009359293e-06	3.967270022315894e-05	8.0	3.471361269526407e-05	4.959087527894867e-06	0.0009346995207914561	0.0026160997528740164	527.5365151670454	4.9590875278948676e-05	0.03343912720059509
ti|476213|org|Salmonella_enterica_subsp._enterica_serovar_Paratyphi_C_strain	1.5092026207971042e-06	4.463178775105381e-05	9.0	3.471361269526407e-05	9.918175055789735e-06	0.0007600726452050967	0.004510201327530371	909.4820976964993	2.9754525167369204e-05	0.04566823704438383
ti|1132507|org|Salmonella_enterica_subsp._enterica_serovar_Typhi_str._P-stx-12	1.1625874104982607e-06	4.959087527894867e-06	1.0	4.959087527894867e-06	0.0	8.07944320441976e-05	0.002356969354722932	475.2828703798792	4.959087527894867e-06	0.032536573270518225
ti|1171376|org|Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str._U288	7.397469300496283e-07	9.918175055789735e-05	20.0	9.918175055789735e-05	0.0	0.0010709204166837825	0.003909916000022679	788.4345614045732	0.00013389536325316141	0.05395487230349616
ti|936157|org|Salmonella_enterica_subsp._enterica_serovar_Weltevreden_str.	6.39415404084994e-07	4.9590875278948676e-05	10.0	4.9590875278948676e-05	0.0	0.0013887637766320192	0.004236360087707413	854.2620116861999	5.950905033473841e-05	0.0440614926853459
