Total Number of Aligned Reads:	286440	Total Number of Mapped Genomes:	12472
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|381754|org|Pseudomonas_aeruginosa_PA7	0.9172986444167877	0.3514942047200112	100682.0	0.3514942047200112	0.0	0.9022382439073886	0.33277834960376035	95321.03046050112	0.31277754503560956	0.02571568216729507
ti|557722|org|Pseudomonas_aeruginosa_LESB58	0.05284265993903263	0.5544267560396593	158810.0	0.5543708979192851	5.5858120374249406e-05	0.020356770013157936	0.16261729169350678	46580.09703268808	0.06684471442535958	0.19134199134199134
ti|287|org|Pseudomonas_aeruginosa	0.015581826276127492	0.019990224828934505	5726.0	0.019972769166317555	1.745566261695294e-05	0.020080882765819024	0.017349555384725133	4969.606644400667	0.013880742913000978	0.011269375785504817
ti|941193|org|Pseudomonas_aeruginosa_M18	0.009110372192378502	0.05367616254713029	15375.0	0.05365521575198995	2.0946795140343527e-05	0.01857230688300112	0.15246464179190744	43671.971994873966	0.05384722804077643	0.19263021924312246
ti|1280938|org|Pseudomonas_aeruginosa_B136-33	0.0019521989288491322	0.01396103896103896	3999.0	0.013943583298422008	1.745566261695294e-05	0.014273294304894728	0.19576307457657777	56074.375081714934	0.07948610529255691	0.1677698645440581
ti|208964|org|Pseudomonas_aeruginosa_PAO1	0.000979856909169224	0.003330540427314621	954.0	0.003330540427314621	0.0	0.012511054180121443	0.11352837017956299	32519.066354234023	0.02251780477586929	0.17445189219382767
ti|77133|org|uncultured_bacterium	0.0008884118870453958	0.00022692361402038821	65.0	0.00022692361402038821	0.0	0.0006906039814461685	0.00035274863135235056	101.0413179645673	0.0002304147465437788	0.0016652702136573105
ti|379731|org|Pseudomonas_stutzeri_A1501	0.00039123839396465546	9.775171065493646e-05	28.0	9.775171065493646e-05	0.0	0.00314208126166539	0.0006256152366410344	179.2012283834579	0.0008064516129032258	0.0006144393241167435
ti|439842|org|Salmonella_enterica_subsp._enterica_serovar_Kentucky_str._CVM29188	0.0003906824202142693	7.680491551459293e-05	22.0	7.680491551459293e-05	0.0	0.00039068242021426963	9.244924989834104e-05	26.48116314088081	7.680491551459293e-05	9.426057813154587e-05
ti|208963|org|Pseudomonas_aeruginosa_UCBPP-PA14	0.00025174081199576503	0.0009356235162686776	268.0	0.0009286412512218964	6.982265046781176e-06	0.004184469168641031	0.00329186359843321	942.9214091352087	0.0027161011031978776	0.003847228040776428
ti|47574|org|Plasmid_pRL1063a	0.00020167129898526051	5.236698785085882e-05	15.0	5.236698785085882e-05	0.0	0.00019772511283474455	3.525269980454873e-05	10.097783332014938	3.142019271051529e-05	3.491132523390588e-05
ti|10871|org|Pseudomonas_phage_Pf1	6.580096238451385e-05	0.00020946795140343527	60.0	0.00020946795140343527	0.0	7.914722327069385e-05	0.00027579946934785644	79.0	0.00027579946934785644	3.491132523390588e-06
ti|1331671|org|Pseudomonas_putida_H8234	1.9975919447697907e-05	0.0006842619745845552	196.0	0.0006842619745845552	0.0	0.0009944141930222686	0.0006456256339945971	184.9330066014124	0.000516687613461807	0.0007052087697248988
ti|652611|org|Pseudomonas_aeruginosa_PA14	1.4226354885965447e-05	3.142019271051529e-05	9.0	3.142019271051529e-05	0.0	2.7047119316245944e-05	0.00023812433086626634	68.20833333333333	8.378718056137411e-05	0.00025136154168412233
ti|32630|org|synthetic_construct	1.0517687903115816e-05	0.0006249127216869152	179.0	0.0006249127216869152	0.0	0.0005963577837328206	0.001819351310286363	521.1349893184258	0.0003770423125261835	0.003924032956291021
ti|280701|org|Pseudomonas_phage_F116	1.1787545394250642e-07	7.680491551459293e-05	22.0	7.680491551459293e-05	0.0	2.2179204018196988e-07	0.0001728110599078341	49.5	0.00013615416841223293	0.00012218963831867058
ti|1273707|org|Pseudomonas_phage_H66	4.039693572612973e-08	6.284038542103058e-05	18.0	6.284038542103058e-05	0.0	1.1077614580688784e-05	9.426057813154587e-05	27.0	9.426057813154587e-05	0.0
ti|1089456|org|Pseudomonas_aeruginosa_NCGM2.S1	9.823935472291137e-09	1.745566261695294e-05	5.0	1.745566261695294e-05	0.0	0.0005710000358648439	0.0027963146731127854	800.9763749664263	0.0010962156123446446	0.004475631894986734
ti|190486|org|Xanthomonas_axonopodis_pv._citri_str._306	7.504441575572072e-09	2.4437927663734115e-05	7.0	2.4437927663734115e-05	0.0	6.593196958075988e-09	5.3530698691989015e-05	15.333333333333334	6.982265046781176e-06	9.426057813154587e-05
