Total Number of Aligned Reads:	278909	Total Number of Mapped Genomes:	11230
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|1280938|org|Pseudomonas_aeruginosa_B136-33	0.8359470528952543	0.8055172117070443	224666.0	0.8051873550154351	0.00032985669160909113	0.380969425601795	0.4228679497819221	117941.67700572612	0.255409470472448	0.2473602501174218
ti|557722|org|Pseudomonas_aeruginosa_LESB58	0.11268633562069838	0.12782305339734465	35651.0	0.12753622149159763	0.0002868319057470358	0.2108304225953092	0.17629987737228356	49171.622498026234	0.08146743202980183	0.20647953275082553
ti|941193|org|Pseudomonas_aeruginosa_M18	0.03753719899169357	0.03300001075619646	9204.0	0.032974912964443596	2.509779175286563e-05	0.19466293953471175	0.15859826500442462	44234.483494119064	0.06513235499750815	0.20127353366151685
ti|287|org|Pseudomonas_aeruginosa	0.006190687197224948	0.013599417731231333	3793.0	0.013592246933587657	7.170797643675894e-06	0.017694415509656773	0.02353135266447557	6563.106040296217	0.01727086612479339	0.01636017482404655
ti|208964|org|Pseudomonas_aeruginosa_PAO1	0.003534593724502695	0.0069700153096529695	1944.0	0.00695208831554378	1.7926994109189736e-05	0.1607143014838965	0.1290111490496514	35982.370570289226	0.03820242444668333	0.1868136202130444
ti|208963|org|Pseudomonas_aeruginosa_UCBPP-PA14	0.0022077978690691743	0.002897002248045061	808.0	0.0028826606527577094	1.4341595287351788e-05	0.0045385946825622905	0.020281996054002455	5656.831237425771	0.0067799891720955584	0.03241917614705872
ti|1089456|org|Pseudomonas_aeruginosa_NCGM2.S1	0.0010146372841731918	0.002240874263648717	625.0	0.002240874263648717	0.0	0.008427382454280326	0.02152264992656528	6002.860768368396	0.0066831834039059335	0.034430584886109804
ti|1093787|org|Pseudomonas_aeruginosa_DK2	0.00025002487472227525	0.00040515006686768804	113.0	0.00040515006686768804	0.0	0.015786490266512326	0.019972862199612723	5570.611023231785	0.0041124524486481255	0.04225033971653837
ti|381754|org|Pseudomonas_aeruginosa_PA7	0.0002186816324659616	0.0008174709313790519	228.0	0.0008174709313790519	0.0	0.00036520035227301587	0.002123240453121228	592.1908715395886	0.0010648634500858704	0.003915255513447039
ti|35343|org|Pseudomonas_phage_phiCTX	0.0001884002804531582	0.0006274447938216407	175.0	0.0006274447938216407	0.0	0.00045171431105043354	0.002384290216522235	665.0	0.00244524199649348	0.0
ti|347324|org|Pseudomonas_phage_F10	8.6742528397365e-05	0.0006489571867526685	181.0	0.0006489571867526685	0.0	0.00043155992260652913	0.0023556070259475315	657.0	0.002312582240085476	7.170797643675895e-05
ti|32630|org|synthetic_construct	8.128556780615434e-05	0.0007923731396261863	221.0	0.0007923731396261863	0.0	0.002570224563614715	0.0023186503853137074	646.6924603174608	0.0007744461455169966	0.004944264975314529
ti|10871|org|Pseudomonas_phage_Pf1	2.4541296313295197e-05	0.00021153853048843887	59.0	0.00021153853048843887	0.0	3.769632929482303e-05	0.00038543037334757933	107.5	0.0003513690845401188	3.943938704021742e-05
ti|504346|org|Pseudomonas_phage_PAJU2	1.8605691630119708e-05	0.0032949815172690733	919.0	0.0032949815172690733	0.0	1.8602801755131543e-05	0.003321872008432858	926.5	0.0033487624995966426	3.585398821837947e-06
ti|999510|org|Expression_vector_pCon4	1.0907592076261451e-05	0.0001290743575861661	36.0	0.0001290743575861661	0.0	1.0907592076954866e-05	0.0001290743575861661	36.0	0.0001290743575861661	0.0
ti|228095|org|Pseudomonas_sp._M18	2.480802994135924e-06	1.0756196465513842e-05	3.0	1.0756196465513842e-05	0.0	0.00033272705333661274	0.00033244678603884905	92.72240064730936	6.453717879308305e-05	0.0010397656583330047
