Total Number of Aligned Reads:	239390	Total Number of Mapped Genomes:	16270
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|361100|org|Bacillus_cereus_Q1	0.5799707743126883	0.1907723797986549	45669.0	0.19050085634320565	0.00027152345544926686	0.49636119429794007	0.14019950423105845	33562.35931787308	0.10867621872258658	0.0719286519904758
ti|1217984|org|Bacillus_cereus_FRI-35	0.19327430957327268	0.4003258281465391	95834.0	0.40012949580182966	0.00019633234470946992	0.17590436516473784	0.3496103318317438	83693.21733720115	0.34402439533815116	0.01626216633944609
ti|334406|org|Bacillus_cereus_NC7401	0.09796898441608681	0.023706086302685992	5675.0	0.02367684531517607	2.924098750992105e-05	0.1363921230374497	0.039401444459359475	9432.311789126064	0.02815907097205397	0.05249592714816826
ti|198094|org|Bacillus_anthracis_str._Ames	0.09408007722366793	0.31746522411128286	75998.0	0.3173231964576632	0.00014202765361961652	0.08461880130897165	0.30515091586613435	73050.07774919391	0.2961944943397803	0.022498851246919253
ti|405534|org|Bacillus_cereus_AH187	0.021300399639627713	0.006094657253853545	1459.0	0.006073770834203601	2.0886419649943606e-05	0.06643447386850691	0.02369259000966694	5671.769122414169	0.01035548686244204	0.050887672835122605
ti|1286404|org|Bacillus_thuringiensis_serovar_thuringiensis_str._IS5056	0.005056230572219467	0.002819666652742387	675.0	0.002815489368812398	4.1772839299887215e-06	0.002510707710225637	0.0016119247779989973	385.87867260518	0.002101173816784327	0.00378879652449977
ti|405532|org|Bacillus_cereus_B4264	0.004139658168508415	0.031204310957015747	7470.0	0.031116587994485984	8.772296252976315e-05	0.008975941001120919	0.045261353697396145	10835.115461619664	0.04138017461046827	0.011282843894899537
ti|405531|org|Bacillus_cereus_G9842	0.0012670688646771488	0.013350599440243954	3196.0	0.013292117465224112	5.84819750198421e-05	0.0053153147789470855	0.03684682498055717	8820.761432095582	0.03375663143823886	0.008016207861648356
ti|451708|org|Bacillus_cereus_H3081.97	0.000865903970208109	0.0007560883913279586	181.0	0.0007560883913279586	0.0	0.003707495529094571	0.001557351124584509	372.8142857142856	0.0017502819666652743	0.0007477338234679811
ti|572264|org|Bacillus_cereus_03BB102	0.0008469144742154042	0.007101382680980826	1700.0	0.007093028113120849	8.354567859977443e-06	0.0021856587934442244	0.017267988982914467	4133.783882619894	0.015004803876519488	0.010468273528551736
ti|714359|org|Bacillus_thuringiensis_BMB171	0.00047487119789392523	0.0014912903630059735	357.0	0.0014912903630059735	0.0	0.0030860221566353105	0.005110656170024375	1223.4399805421351	0.003897405906679477	0.007326956013200217
ti|570416|org|Bacillus_thuringiensis_serovar_kurstaki_str._YBT-1520	0.0002750061539483256	0.0004302602447888383	103.0	0.0004302602447888383	0.0	0.00034872780596453514	0.00048038765194870296	115.0	0.000509628639458624	2.506370357993233e-05
ti|1444|org|Bacillus_thuringiensis_serovar_tenebrionis	0.0002544500199150722	0.0005514014787585112	132.0	0.0005514014787585112	0.0	0.0005391798971259433	0.0006254250190516523	149.72049531077505	0.0006224153055683195	2.506370357993233e-05
ti|1428|org|Bacillus_thuringiensis	6.466638491564911e-05	0.00025063703579932326	60.0	0.00025063703579932326	0.0	0.00027363769093744996	0.0005232662408296305	125.26470539220524	0.0002172187643594135	0.005029449851706421
ti|32630|org|synthetic_construct	5.5235679622157056e-05	0.00025063703579932326	60.0	0.00025063703579932326	0.0	0.0012835337859872196	0.004058080686048542	971.4639354331606	0.0007686202431179247	0.007468983666819834
ti|288681|org|Bacillus_cereus_E33L	2.962961984104462e-05	0.000944066168177451	226.0	0.000944066168177451	0.0	0.0014735086574133931	0.002945758388744844	705.1851006816282	0.0019382597435147668	0.008120639959898075
ti|405535|org|Bacillus_cereus_AH820	2.589868299918775e-05	0.0011445757968169097	274.0	0.001140398512886921	4.1772839299887215e-06	0.0026000584732878826	0.002127933352177801	509.4059651778438	0.0017878775220351727	0.007682025147249258
ti|637380|org|Bacillus_cereus_biovar_anthracis_str._CI	2.3697004202925602e-05	0.00017962320898951502	43.0	0.00017962320898951502	0.0	0.0004692411139210985	0.0013095867677532533	313.5019763324513	0.000584819750198421	0.007423033543589958
ti|637630|org|Bacillus_sp._1N21	1.757306109713375e-05	8.354567859977443e-06	2.0	8.354567859977443e-06	0.0	4.7739661427298855e-05	7.282398317947002e-05	17.43333333333333	2.506370357993233e-05	0.0002381051840093571
ti|1396|org|Bacillus_cereus	3.3424064983716654e-06	0.0001378503696896278	33.0	0.0001336730857596391	4.1772839299887215e-06	0.0010094841329581488	0.0012973810734450831	310.58005517201843	0.0006976064163081165	0.005764651823384435
ti|1392|org|Bacillus_anthracis	2.5634512652925976e-06	0.00012114123396967293	29.0	0.00012114123396967293	0.0	5.0958629790123815e-05	0.00043742768043874886	104.71581242023208	0.00016291407326956013	0.00477045824804712
ti|226900|org|Bacillus_cereus_ATCC_14579	1.1706672904957133e-06	0.00025899160365930074	62.0	0.00025899160365930074	0.0	0.0007880618832019988	0.0011360754116124918	271.9650927859144	0.0005597560466184887	0.0057395881198045035
ti|347495|org|Bacillus_cereus_F837/76	1.131884083775872e-06	4.5950123229875935e-05	11.0	4.5950123229875935e-05	0.0	0.0002333613934443199	0.0011868024721100577	284.1086437984267	0.0005639333305484773	0.0074898700864697776
ti|43262|org|Bacillus_thuringiensis_serovar_neoleonensis	1.3492132245421152e-07	0.00014202765361961652	34.0	0.00014202765361961652	0.0	1.4235732342464143e-07	0.00014620493754960524	35.0	0.00014620493754960524	0.0
ti|281309|org|Bacillus_thuringiensis_serovar_konkukian_str._97-27	1.220129830190596e-07	2.506370357993233e-05	6.0	2.506370357993233e-05	0.0	0.0003308480038771466	0.0010363606245931566	248.09436992135574	0.00032582814653912026	0.008291908601027612
ti|1218175|org|Bacillus_thuringiensis_HD-771	6.078369047325209e-08	0.00012949580182965037	31.0	0.00012949580182965037	0.0	4.526706816121594e-05	0.0006506860231069807	155.7677270715801	0.0003759555536989849	0.0038431012155896237
ti|222523|org|Bacillus_cereus_ATCC_10987	4.3026731758596536e-08	5.84819750198421e-05	14.0	5.84819750198421e-05	0.0	0.0006030460655539902	0.0013520440612865077	323.6658278313771	0.00030494172688917665	0.008801537240486235
ti|568206|org|Bacillus_anthracis_str._CDC_684	3.736196848925356e-08	3.341827143990977e-05	8.0	3.341827143990977e-05	0.0	0.0002003423637364862	0.0007648476514835051	183.09687928863627	0.00022975061614937967	0.007130623668490747
ti|86662|org|Bacillus_weihenstephanensis	2.5210446190271653e-08	0.00010443209824971803	25.0	0.00010443209824971803	0.0	3.40333873992835e-08	0.0001272391956824641	30.45979105442508	0.00012114123396967293	1.6709135719954886e-05
ti|1430|org|Bacillus_thuringiensis_serovar_israelensis	1.173524744925148e-08	7.93683946697857e-05	19.0	7.93683946697857e-05	0.0	1.2843065075792248e-06	0.0001294055669513774	30.978398672490233	0.0001169639500396842	3.7595555369898495e-05
ti|261594|org|Bacillus_anthracis_str._Ames_Ancestor	5.283682631550368e-09	1.2531851789966164e-05	3.0	1.2531851789966164e-05	0.0	0.0007506764175105297	0.0017909534676874288	428.73635062969356	0.0008814069092276202	0.008337858724257487
ti|180890|org|Bacillus_thuringiensis_serovar_tohokuensis	2.2348643986567807e-09	4.1772839299887215e-06	1.0	4.1772839299887215e-06	0.0	3.286782141336879e-08	7.579772972869238e-05	18.14521851975167	7.101382680980826e-05	8.354567859977443e-06
