Total Number of Aligned Reads:	203506	Total Number of Mapped Genomes:	10248
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|1081093|org|Salmonella_enterica_subsp._enterica_serovar_Gallinarum/pullorum	0.9321045554637958	0.908818413216318	184950.0	0.9088085854962508	9.827720067221606e-06	0.5974681544874348	0.6044818268808563	123015.67866121553	0.4564681139622419	0.39567875148644266
ti|439851|org|Salmonella_enterica_subsp._enterica_serovar_Dublin_str._CT_02021853	0.050195486242118	0.0576788890745236	11738.0	0.05766906135445638	9.827720067221606e-06	0.2389169041777103	0.16424371207743765	33424.58087003103	0.08549133686476075	0.2726062130846265
ti|216597|org|Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str._SL1344	0.006493965366825006	0.01626979057128537	3311.0	0.016264876711251756	4.913860033610803e-06	0.10663412704906358	0.043614008655847185	8875.712445516838	0.031374996314604976	0.09128969170442149
ti|718274|org|Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str.	0.005758903503863896	0.005803268699694358	1181.0	0.0057983548396607475	4.913860033610803e-06	0.00496010503469748	0.008067438969227637	1641.7722348716395	0.0029483160201664816	0.06116772969838727
ti|550537|org|Salmonella_enterica_subsp._enterica_serovar_Enteritidis_str.	0.0023076161053787094	0.0020048548937132075	408.0	0.0020048548937132075	0.0	0.011299508439543457	0.03309835627353375	6735.7140918017585	0.002186667714956807	0.15357778149047202
ti|591946|org|Escherichia_coli_LF82	0.0010348579720338938	0.0019311469932090455	393.0	0.0019311469932090455	0.0	0.0010321115905483032	0.0024561660149724626	499.84452104298595	0.0015380381905201813	0.0013562253692765815
ti|550538|org|Salmonella_enterica_subsp._enterica_serovar_Gallinarum_str._287/91	0.00063118179120153	0.0005012137234283019	102.0	0.0005012137234283019	0.0	0.010884974387201396	0.03425692498858479	6971.489776726937	0.0015626074906882352	0.14777942665081129
ti|1016998|org|Salmonella_enterica_subsp._enterica_serovar_Paratyphi_B_str._SPB7	0.0004638134628783949	0.0007567344451760636	154.0	0.0007567344451760636	0.0	0.007621231076832957	0.008378286887087994	1705.0316512437291	0.001071221487327155	0.06028323489233733
ti|221029|org|Enterobacteria_phage_ST104	0.0004509095844553796	0.000348884062386367	71.0	0.000348884062386367	0.0	0.0010067659710904344	0.001306563052039847	265.8934204684211	0.0003881949426552534	0.003090817961141195
ti|1171376|org|Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str._U288	0.00035509182378858165	0.00026534844181498336	54.0	0.00026534844181498336	0.0	0.0018440166196917183	0.00524041945830023	1066.4568022808467	0.0004127642428233074	0.058686230381413816
ti|714583|org|Salmonella_phage_ST160	6.420169912529626e-05	0.00024569300168054015	50.0	0.00024569300168054015	0.0	0.0002796624254630156	0.000334712506958043	68.1160034410035	0.0002604345817813725	0.0005945770640669072
ti|454169|org|Salmonella_enterica_subsp._enterica_serovar_Heidelberg_str._SL476	2.8778451459890415e-05	0.00034397020235275616	70.0	0.00034397020235275616	0.0	0.004502000275517404	0.006067263213308922	1234.7244674876456	0.0002112959814452645	0.058809076882254084
ti|1127357|org|Salmonella_phage_SPN9CC	2.4829401694121107e-05	0.0003636256424871994	74.0	0.0003636256424871994	0.0	0.00023178829342123262	0.00040681453956738163	82.78919968919956	0.00030465932208386976	0.0003390563423191454
