Total Number of Aligned Reads:	279930	Total Number of Mapped Genomes:	18895
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|205922|org|Pseudomonas_fluorescens_Pf0-1	0.9995208782690191	0.9152681027399707	256211.0	0.9152681027399707	0.0	0.9990302379932599	0.8758209028642095	245168.54533877817	0.8728324938377452	0.004894080663022898
ti|294|org|Pseudomonas_fluorescens	0.0004488353427845374	0.0017432929660986674	488.0	0.0017432929660986674	0.0	0.0009076307541719275	0.0013531813917717944	378.79606699867844	0.0013574822276997821	0.0010252563140785197
ti|1207075|org|Pseudomonas_sp._UW4	1.536237877745202e-05	0.08238845425642125	23063.0	0.08238845425642125	0.0	1.5319429664718552e-05	0.07595093849371182	21260.94621254475	0.07462222698531776	0.003000750187546887
ti|400213|org|Pseudomonas_sp._KC022	9.3158740841304e-06	2.500625156289072e-05	7.0	2.500625156289072e-05	0.0	2.1351892222412308e-05	3.5723216518415315e-05	10.0	2.8578573214732255e-05	1.4289286607366127e-05
ti|155900|org|uncultured_organism	5.0125268570272145e-06	6.072946808130604e-05	17.0	6.072946808130604e-05	0.0	2.0139766082950875e-05	7.421897495528751e-05	20.776117659233634	5.715714642946451e-05	3.5723216518415315e-05
ti|329930|org|Pseudomonas_sp._CR-611	3.48131465353846e-07	3.572321651841532e-06	1.0	3.572321651841532e-06	0.0	3.677751347925655e-07	3.572321651841532e-06	1.0	3.572321651841532e-06	0.0
ti|205918|org|Pseudomonas_syringae_pv._syringae_B728a	1.462055276590113e-07	0.0001821884042439181	51.0	0.0001821884042439181	0.0	1.4723811151022328e-07	0.001047787543647443	293.3071670932287	0.000785910763405137	0.0007644768334940878
ti|492160|org|Pseudomonas_sp._GmFRB002	6.831348907935146e-08	5.3584824777622976e-05	15.0	5.3584824777622976e-05	0.0	6.831505407528953e-08	5.4602965827889294e-05	15.28500822420105	5.3584824777622976e-05	3.572321651841532e-06
ti|160488|org|Pseudomonas_putida_KT2440	1.7927956429333677e-08	3.929553817025685e-05	11.0	3.929553817025685e-05	0.0	1.7950882696433787e-08	0.0019506876909889425	546.0560053385346	0.0013789161576108313	0.0012574572214482192
ti|131426|org|chlamydia-associated_clinical_sample_641-G	5.262337690831891e-09	4.6440181473939916e-05	13.0	4.6440181473939916e-05	0.0	5.1771802785642085e-09	7.85910763405137e-05	22.0	7.85910763405137e-05	0.0
ti|216595|org|Pseudomonas_fluorescens_SBW25	5.022413510056698e-09	3.5723216518415315e-05	10.0	3.5723216518415315e-05	0.0	9.567920604062169e-08	0.0054868264480375985	1535.927327599165	0.004761904761904762	0.001779016182617083
ti|1114970|org|Pseudomonas_fluorescens_F113	3.6171343419865237e-09	0.00014646518772550281	41.0	0.00014289286607366126	3.572321651841532e-06	2.2569343560220066e-08	0.015006880173594002	4200.875966994169	0.013964205337048547	0.002489908191333548
ti|351746|org|Pseudomonas_putida_F1	9.676382368308978e-10	7.144643303683064e-06	2.0	7.144643303683064e-06	0.0	2.1292293707834703e-09	0.003620216560243716	1013.4072217090234	0.0031222091237094987	0.0011324259636337655
