Total Number of Aligned Reads:	239280	Total Number of Mapped Genomes:	14857
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|198094|org|Bacillus_anthracis_str._Ames	0.9500751742515202	0.8498370110330993	203349.0	0.8498328318288197	4.179204279505182e-06	0.8633656562549022	0.7487421442619082	179159.0202789894	0.7113716148445336	0.12732363757940487
ti|1392|org|Bacillus_anthracis	0.027082988622802933	0.0337136409227683	8067.0	0.03368856569709128	2.5075225677031092e-05	0.011965881593304601	0.013478969217598261	3225.2477543869118	0.008596623202942159	0.027198261451019726
ti|261594|org|Bacillus_anthracis_str._Ames_Ancestor	0.010333956268824586	0.007677198261451019	1837.0	0.007677198261451019	0.0	0.026788672260778447	0.028132479390697948	6731.539668606205	0.006954195921096623	0.09099381477766633
ti|572264|org|Bacillus_cereus_03BB102	0.003894895672741197	0.0159687395519893	3821.0	0.0159687395519893	0.0	0.01243342504966556	0.01763433289216637	4219.543174437569	0.015325142092945504	0.016052323637579406
ti|260799|org|Bacillus_anthracis_str._Sterne	0.003214362215222421	0.002708124373119358	648.0	0.002708124373119358	0.0	0.03177364133288206	0.032463181505770815	7767.790070700841	0.007723169508525577	0.09531093279839518
ti|1396|org|Bacillus_cereus	0.001773145200342549	0.0020060180541624875	480.0	0.0020018388498829823	4.179204279505182e-06	0.0058965807131021045	0.005238084777855742	1253.368925645322	0.004952357071213641	0.008454530257438983
ti|32630|org|synthetic_construct	0.0012017552419955214	0.00240304246071548	575.0	0.002340354396522902	6.268806419257773e-05	0.015395013887893782	0.015675623960384005	3750.863301240685	0.0028335005015045133	0.040379471748579074
ti|568206|org|Bacillus_anthracis_str._CDC_684	0.001104327481201799	0.0008734536944165831	209.0	0.0008734536944165831	0.0	0.014407087578909817	0.01703928204658681	4077.159408107292	0.0015922768304914745	0.07162320294215982
ti|405531|org|Bacillus_cereus_G9842	0.0006920895163598786	0.029801905717151453	7131.0	0.029584587094617185	0.00021731862253426948	0.001451611490666018	0.017717683551820886	4239.487320279702	0.01729772651287195	0.004300401203610833
ti|1217984|org|Bacillus_cereus_FRI-35	0.0002208836507385211	0.04228936810431294	10119.0	0.04200100300902708	0.00028836509528585755	0.00210319365700948	0.04682328503811443	11203.87564392002	0.04607154797726513	0.005926111668338349
