Total Number of Aligned Reads:	297530	Total Number of Mapped Genomes:	16656
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|994484|org|Pseudomonas_brassicacearum_subsp._brassicacearum_NFM421	0.9963716316385136	0.8544953450072261	254238.0	0.8544886229960004	6.722011225758747e-06	0.9860350689861092	0.8296261784226603	246838.67686609412	0.8246933082378247	0.012781904345780257
ti|1114970|org|Pseudomonas_fluorescens_F113	0.002692207695947505	0.12428662655866635	36979.0	0.12428662655866635	0.0	0.006706295391459672	0.1265893240193192	37664.12157546804	0.12567136087117264	0.0049944543407387494
ti|294|org|Pseudomonas_fluorescens	0.000472833500942766	0.001277182132894162	380.0	0.001277182132894162	0.0	0.001497242724123999	0.0030338143502656413	902.6507836345362	0.0025140321984337714	0.0025846133163042384
ti|1038923|org|Pseudomonas_fluorescens_Q8r1-96	0.0002305600003734764	0.000252075420965953	75.0	0.000252075420965953	0.0	0.003151367065113767	0.0020754679211784865	617.5139705882351	0.0007427822404463415	0.0028904648270762614
ti|557989|org|Pseudomonas_phage_DVM-2008	0.00016710340494786492	0.00023527039290155614	70.0	0.00023527039290155614	0.0	0.0016126647651109297	0.0012351695627331697	367.5	0.002140960575404161	8.066413470910497e-05
ti|174700|org|Pseudomonas_sp._CM1A2	5.276180517891572e-05	0.00014452324135381307	43.0	0.00014452324135381307	0.0	2.8246870219945708e-05	0.00016053406127688146	47.76369925171054	3.697106174167311e-05	0.0006049810103182872
ti|1207075|org|Pseudomonas_sp._UW4	8.28464631549906e-06	0.018845158471414648	5607.0	0.01884179746580177	3.3610056128793736e-06	8.217299442992611e-06	0.017905762673503463	5327.501568247486	0.01727556885019998	0.0017712499579874297
ti|930166|org|Pseudomonas_brassicacearum	3.743128042572556e-06	1.6805028064396868e-05	5.0	1.6805028064396868e-05	0.0	0.0009339605928532485	0.0007356642167223849	218.88217440141116	0.00033273955567505797	0.0012334890599267302
ti|1001555|org|Pseudomonas_sp._CM1.A2	7.980765366687436e-07	4.0332067354552484e-05	12.0	4.0332067354552484e-05	0.0	7.761480415817851e-07	4.677399477923795e-05	13.916666666666666	3.697106174167311e-05	3.697106174167311e-05
ti|216595|org|Pseudomonas_fluorescens_SBW25	3.813754934929745e-08	0.00033610056128793734	100.0	0.00033610056128793734	0.0	2.638102361818573e-07	0.003211981993349719	955.6610024813418	0.0027661076193997245	0.0014485934191510099
ti|177983|org|Pseudomonas_sp._P12	1.8048520970523155e-08	1.0083016838638121e-05	3.0	1.0083016838638121e-05	0.0	1.2707893474031367e-07	3.182123064959573e-05	9.467770755174216	2.688804490303499e-05	2.688804490303499e-05
ti|492160|org|Pseudomonas_sp._GmFRB002	1.6474300557362574e-08	3.3610056128793736e-05	10.0	3.3610056128793736e-05	0.0	1.6527027237855618e-08	3.3629009503287405e-05	10.005639197513101	3.3610056128793736e-05	0.0
ti|160488|org|Pseudomonas_putida_KT2440	3.44320075742043e-09	2.688804490303499e-05	8.0	2.688804490303499e-05	0.0	4.02773365544322e-09	0.0016101487971349484	479.06757161156116	0.0012166840318623333	0.0009410815716062246
