Total Number of Aligned Reads:	209970	Total Number of Mapped Genomes:	13593
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|214092|org|Yersinia_pestis_CO92	0.8679336071240287	0.8798352145544601	184739.0	0.8797923512882793	4.2863266180882985e-05	0.2784424735463766	0.2699518734425152	56681.79486672492	0.05654141067771586	0.7950135733676239
ti|547048|org|Yersinia_pestis_biovar_Medievalis_str._Harbin_35	0.09846382156918383	0.0847073391436872	17786.0	0.08469781397342477	9.52517026241844e-06	0.2410807957631806	0.21729059283055516	45624.50577663167	0.028846978139734247	0.7313806734295375
ti|386656|org|Yersinia_pestis_Pestoides_F	0.022621480543736514	0.020898223555746057	4388.0	0.020893460970614848	4.76258513120922e-06	0.2330362346083588	0.20699750924560664	43463.26701630003	0.027594418250226224	0.7179978092108397
ti|349746|org|Yersinia_pestis_Angola	0.008336617453139367	0.00757727294375387	1591.0	0.00757727294375387	0.0	0.21677416312691455	0.18554545523236998	38958.97923514072	0.026289469924274896	0.6444111063485259
ti|633|org|Yersinia_pseudotuberculosis	0.0008627252340220928	0.0012430347192456065	261.0	0.0012382721341143972	4.76258513120922e-06	0.0012919249881420461	0.002690736830980597	564.9740124009959	0.001190646282802305	0.027165785588417393
ti|32630|org|synthetic_construct	0.0007366491765473568	0.0016097537743487164	338.0	0.001600228604086298	9.52517026241844e-06	0.020378103178035376	0.02131420115504508	4475.342816524815	0.0017859694242034576	0.11179692337000524
ti|1035377|org|Yersinia_pestis_A1122	0.0004263140802796027	0.0004429204172024575	93.0	0.0004429204172024575	0.0	0.0009215048711908538	0.008799282567459462	1847.5853606894632	0.0005905605562699434	0.07147211506405678
ti|632|org|Yersinia_pestis	0.0003022436723081721	0.000323855788922227	68.0	0.000323855788922227	0.0	0.0016360653662956096	0.003952562190414783	829.919483121392	0.0003810068104967376	0.04327761108729818
ti|637386|org|Yersinia_pestis_Z176003	9.309309504406794e-05	9.048911749297518e-05	19.0	9.048911749297518e-05	0.0	0.00033319675301302033	0.007357675084695559	1544.8910375335265	9.048911749297518e-05	0.07406296137543458
ti|2665|org|Plasmid_pYV03	7.149157894614185e-05	0.0005715102157451065	120.0	0.0005715102157451065	0.0	7.149157894618156e-05	0.0005718277214205203	120.06666666666666	0.0005715102157451065	4.76258513120922e-06
ti|1177632|org|Salmonella_phage_SSU5	5.615618894688579e-05	0.0007524884507310568	158.0	0.0007524884507310568	0.0	0.00014450303637682506	0.0004929275610801543	103.5	0.0005048340239081773	2.38129256560461e-05
ti|880632|org|Yersinia_pestis_Java_9	4.0162649824527575e-05	2.38129256560461e-05	5.0	2.38129256560461e-05	0.0	0.00023098295129520956	0.001389286234517832	291.7084306617092	5.238843644330142e-05	0.01888841263037577
ti|220341|org|Salmonella_enterica_subsp._enterica_serovar_Typhi_str._CT18	1.770980589815151e-05	0.00036671905510310995	77.0	0.00036671905510310995	0.0	0.00013377103595325047	0.0006502346218235584	136.52976354429256	0.0006619993332380816	2.38129256560461e-05
ti|630|org|Yersinia_enterocolitica	1.4588609117376275e-05	0.0008810782492737057	185.0	0.0008810782492737057	0.0	1.7538141235979747e-05	0.0009443310926936281	198.2811995328811	0.0009239415154545888	0.0005715102157451065
ti|502801|org|Yersinia_pseudotuberculosis_PB1/+	1.1494279769391753e-05	8.572653236176597e-05	18.0	8.572653236176597e-05	0.0	2.3642272318611693e-05	0.0037942248132345367	796.6733840348556	7.143877696813831e-05	0.05355050721531648
ti|229193|org|Yersinia_pestis_biovar_Microtus_str._91001	6.257835922287667e-06	4.76258513120922e-06	1.0	4.76258513120922e-06	0.0	0.003097570063530216	0.009297659015817401	1952.2294635511796	0.0004286326618088298	0.08795065961804067
ti|360102|org|Yersinia_pestis_Antiqua	3.9224754367079505e-06	9.52517026241844e-05	20.0	9.52517026241844e-05	0.0	1.1950191499434686e-05	0.007304667359098969	1533.7610053900105	0.00018097823498595036	0.07940181930752012
ti|364106|org|Escherichia_coli_UTI89	9.015165380035431e-07	5.238843644330142e-05	11.0	5.238843644330142e-05	0.0	0.00022859005530238328	0.00019510290197572857	40.96575632784373	0.0	0.005286469495642235
ti|34045|org|Yersinia_enterocolitica_(type_O:13)	7.060799639979838e-07	0.00015240272419869504	32.0	0.00015240272419869504	0.0	7.060800518949439e-07	0.00015240272419869504	32.0	0.00015240272419869504	0.0
ti|393305|org|Yersinia_enterocolitica_subsp._enterocolitica_8081	2.547428207319675e-08	0.00023336667142925178	49.0	0.00023336667142925178	0.0	9.385161362122943e-07	0.0005111248079304326	107.32087592115293	0.0003905319807591561	0.0014525884650188122
ti|913028|org|Yersinia_enterocolitica_W22703	1.1548271721726909e-08	3.810068104967376e-05	8.0	3.810068104967376e-05	0.0	6.420001929844119e-08	0.00021301961147941357	44.72772782233247	0.00010953945801781207	0.0011620707720150498
ti|273123|org|Yersinia_pseudotuberculosis_IP_32953	1.1414436741449027e-08	9.52517026241844e-06	2.0	9.52517026241844e-06	0.0	0.00013774550767294626	0.00416028760536641	873.5355884987852	0.0002286040862980426	0.05515549840453398
ti|1133852|org|Escherichia_coli_O104:H4_str._2011C-3493	8.594878772038545e-09	4.76258513120922e-06	1.0	4.76258513120922e-06	0.0	3.494711488426826e-08	0.0003093353769001969	64.95114908773435	4.76258513120922e-06	0.008477401533552413
