Total Number of Aligned Reads:	279152	Total Number of Mapped Genomes:	10777
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|1280938|org|Pseudomonas_aeruginosa_B136-33	0.9395707901361653	0.855827649452628	238906.0	0.855827649452628	0.0	0.6484935961667058	0.7688005307384518	214612.20575670028	0.5967537398979768	0.24491316558720697
ti|557722|org|Pseudomonas_aeruginosa_LESB58	0.046981428158881046	0.11287040751991746	31508.0	0.112859660686651	1.0746833266464148e-05	0.12179897785468637	0.07946485523095138	22182.77326743054	0.05457600160486043	0.08276852754055139
ti|941193|org|Pseudomonas_aeruginosa_M18	0.010210350160519183	0.021647704476414283	6043.0	0.02164053992090331	7.164555510976099e-06	0.11039882351486789	0.06455989697845065	18022.024361328455	0.040615865191723506	0.07780349057144495
ti|1089456|org|Pseudomonas_aeruginosa_NCGM2.S1	0.001984634294891204	0.0019344299879635468	540.0	0.0019344299879635468	0.0	0.003357500913214712	0.008889495216435127	2481.5203686582986	0.0021780248753367343	0.023686020519286984
ti|287|org|Pseudomonas_aeruginosa	0.0006483578667265459	0.00418768269616553	1169.0	0.00418768269616553	0.0	0.00760743396851305	0.008138468600054734	2271.869786642479	0.005255201467300969	0.009210036109359776
ti|208964|org|Pseudomonas_aeruginosa_PAO1	0.0004666715967607523	0.001801885711010489	503.0	0.001801885711010489	0.0	0.09330098459288098	0.03943221730547032	11007.582325256652	0.013598326359832637	0.07374835215223248
ti|32630|org|synthetic_construct	4.717708486121569e-05	0.0009457213274488451	264.0	0.0009457213274488451	0.0	0.001645795197208129	0.001354644019392971	378.15158730158663	0.0006734682180317533	0.0025649108729294432
ti|208963|org|Pseudomonas_aeruginosa_UCBPP-PA14	3.626355007019796e-05	0.00010746833266464149	30.0	0.00010746833266464149	0.0	0.0018249066133716252	0.008333121301654705	2326.2074775995143	0.0009958732160256778	0.024033501461569323
ti|1093787|org|Pseudomonas_aeruginosa_DK2	3.299115430641971e-05	0.00015403794348598613	43.0	0.00015403794348598613	0.0	0.0092254980056574	0.007128566798950826	1989.953679060721	0.0009528858829598211	0.023686020519286984
ti|999510|org|Expression_vector_pCon4	9.17975126434568e-06	0.00017553161001891443	49.0	0.00017553161001891443	0.0	9.179751264971305e-06	0.00017553161001891443	49.0	0.00017194933226342637	7.164555510976099e-06
ti|228095|org|Pseudomonas_sp._M18	5.759599462721356e-06	7.164555510976099e-06	2.0	7.164555510976099e-06	0.0	0.00019741787812791318	0.0002948620864699969	82.31134116227258	8.955694388720124e-05	0.0009063162721384766
ti|381754|org|Pseudomonas_aeruginosa_PA7	3.1737210196634037e-06	0.0002722531094170918	76.0	0.0002722531094170918	0.0	5.779553339556184e-05	0.0008129578522924928	226.93881038315394	0.0003044936092164842	0.002532670373130051
ti|652611|org|Pseudomonas_aeruginosa_PA14	3.1540273975325677e-06	1.791138877744025e-05	5.0	1.791138877744025e-05	0.0	0.00033477749903429357	0.0002624444917532555	73.26190476190477	6.806327735427295e-05	0.0005695821631225999
ti|544436|org|Pseudomonas_sp._DF41	3.8807042206365434e-08	3.5822777554880497e-06	1.0	3.5822777554880497e-06	0.0	1.687272852716186e-05	1.594113601192182e-05	4.45	1.4329111021952199e-05	1.791138877744025e-05
ti|413502|org|Cronobacter_turicensis	2.453160321786628e-08	3.224049979939245e-05	9.0	3.224049979939245e-05	0.0	2.456115093506393e-08	4.477847194360062e-05	12.5	4.298733306585659e-05	3.5822777554880497e-06
ti|572278|org|actinobacterium_MSA19	5.559460094280315e-09	1.4329111021952199e-05	4.0	1.4329111021952199e-05	0.0	5.785145243182658e-09	3.4382758758725965e-05	9.598015873015871	2.5075944288416347e-05	5.7316444087808795e-05
