Total Number of Aligned Reads:	203630	Total Number of Mapped Genomes:	9639
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|393305|org|Yersinia_enterocolitica_subsp._enterocolitica_8081	0.9893001624619989	0.9054707066738693	184381.0	0.9054265088641162	4.419780975298335e-05	0.9156397164843412	0.8715420186485328	177472.10125740073	0.835510484702647	0.0588518391199725
ti|930944|org|Yersinia_enterocolitica_subsp._palearctica_Y11	0.006592767417887924	0.07758679958748711	15799.0	0.07757697785198645	9.821735500662968e-06	0.03052467635045506	0.051861622261786124	10560.582141167508	0.05844423709669499	0.016274615724598537
ti|630|org|Yersinia_enterocolitica	0.003284780650325937	0.006168049894416343	1256.0	0.006163139026666012	4.910867750331484e-06	0.011547461177102963	0.017438444483312773	3550.99045013698	0.0113244610322644	0.02045376418013063
ti|913028|org|Yersinia_enterocolitica_W22703	0.0002902404249422674	0.003383587879978392	689.0	0.003383587879978392	0.0	0.016938803401747724	0.007759771934060749	1580.1223589327903	0.0043755831655453515	0.012807543092864509
ti|34045|org|Yersinia_enterocolitica_(type_O:13)	0.00014166374766736394	0.00022098904876491677	45.0	0.00022098904876491677	0.0	0.00014166374766736884	0.00023411197869774704	47.67222222222223	0.00022098904876491677	6.384128075430929e-05
ti|633|org|Yersinia_pseudotuberculosis	0.00011967818810623583	0.0008348475175563522	170.0	0.0008348475175563522	0.0	0.00031366187937785484	0.0009284118808288197	189.05251129317256	0.0008790453273093355	0.0008152040465550263
ti|2665|org|Plasmid_pYV03	0.00011854906382573158	0.0006138584687914355	125.0	0.0006138584687914355	0.0	0.00011854906252344927	0.0006114030349162697	124.5	0.0006089476010411039	4.910867750331484e-06
ti|632|org|Yersinia_pestis	6.606462537627355e-05	0.0003584933457741983	73.0	0.0003584933457741983	0.0	6.810169561254236e-05	0.0003737213918745012	76.10088702740468	0.0003535824780238668	0.0003290281392722094
ti|994476|org|Yersinia_enterocolitica_subsp._palearctica_105.5R(r)	5.097471836264094e-05	0.0016942493738643619	345.0	0.0016942493738643619	0.0	0.020819336185952417	0.03236411909001943	6590.305570300657	0.038820409566370374	0.015906300643323674
ti|32630|org|synthetic_construct	1.3133273659693679e-05	0.0006285910720424299	128.0	0.0006236802042920984	4.910867750331484e-06	1.3133411644910564e-05	0.00045877053431545657	93.41944390265643	0.00033393900702254086	0.0004763541717821539
ti|34054|org|Yersinia_enterocolitica_(type_O:8)	8.447612683303377e-06	7.857388400530374e-05	16.0	7.857388400530374e-05	0.0	0.003776415856401536	0.0042496287201533485	865.3518962848264	0.0031625988312134756	0.006295732455924962
ti|150052|org|Yersinia_enterocolitica_subsp._enterocolitica	6.6132525443622e-06	3.928694200265187e-05	8.0	3.928694200265187e-05	0.0	6.602379908026423e-06	0.00033090972348650324	67.38314699355665	4.419780975298335e-05	0.0008299366498060207
