Total Number of Aligned Reads:	260108	Total Number of Mapped Genomes:	10969
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|208964|org|Pseudomonas_aeruginosa_PAO1	0.8421597362098842	0.8035662109585249	209014.0	0.8035585218447722	7.689113752748859e-06	0.43032062325508474	0.5863349890768532	152510.42133880215	0.30310486413335996	0.47676349823919295
ti|557722|org|Pseudomonas_aeruginosa_LESB58	0.13450450147641446	0.16039491288234117	41720.0	0.16038337921171206	1.1533670629123287e-05	0.22806008750413811	0.1678313067959571	43654.26554808281	0.0789479754563489	0.23677856890214835
ti|941193|org|Pseudomonas_aeruginosa_M18	0.019433882937472113	0.02506651083396128	6520.0	0.02506651083396128	0.0	0.21333963990475893	0.15018624913279263	39064.64488943243	0.06053254801851539	0.2358058960124256
ti|1280938|org|Pseudomonas_aeruginosa_B136-33	0.002565090114012482	0.006182047457210082	1608.0	0.006182047457210082	0.0	0.09193204225919739	0.03913708885809898	10179.86990870241	0.01620480723391822	0.06682224306826395
ti|32630|org|synthetic_construct	0.0005178859760946038	0.0015839574330662647	412.0	0.0015839574330662647	0.0	0.00668145193316701	0.008177506869107997	2127.034956709943	0.0023336460239592786	0.015335937379857598
ti|287|org|Pseudomonas_aeruginosa	0.00047221341663611355	0.0014263306011349133	371.0	0.0014263306011349133	0.0	0.009898371916421626	0.010140309537034656	2637.57563305901	0.00484414166423178	0.017365863410583295
ti|1093787|org|Pseudomonas_aeruginosa_DK2	0.00010941816102303357	0.00036138834637919635	94.0	0.00036138834637919635	0.0	0.016464247527038026	0.014983046616038824	3897.2102892046264	0.0012302582004398172	0.04708428806495763
ti|208963|org|Pseudomonas_aeruginosa_UCBPP-PA14	9.422816528774866e-05	0.000599750872714411	156.0	0.000599750872714411	0.0	0.0011876164177982813	0.005125184740321212	1333.1015524354698	0.001184123517923324	0.016923739369800236
ti|999510|org|Expression_vector_pCon4	6.240686992592415e-05	0.00018838328694234703	49.0	0.00018838328694234703	0.0	6.240686992594026e-05	0.0001903894743599789	49.52182539682539	0.00018838328694234703	1.5378227505497718e-05
ti|381754|org|Pseudomonas_aeruginosa_PA7	6.006099841829432e-05	0.0002806526519753333	73.0	0.0002806526519753333	0.0	0.00012161743334379443	0.0009233682596840082	240.175471289888	0.0003075645501099543	0.0030333553754594246
ti|10871|org|Pseudomonas_phage_Pf1	1.1293570827793769e-05	0.0002498961969643379	65.0	0.0002498961969643379	0.0	1.954838332605547e-05	0.00035369923262644747	92.0	0.00034985467575007306	3.8445568763744295e-06
ti|228095|org|Pseudomonas_sp._M18	8.676298275199088e-06	2.3067341258246574e-05	6.0	2.3067341258246574e-05	0.0	0.00036157123594913993	0.00046425642572729675	120.7568103830757	7.689113752748858e-05	0.0013994187030002922
ti|572278|org|actinobacterium_MSA19	4.364448059488287e-07	2.3067341258246574e-05	6.0	2.3067341258246574e-05	0.0	4.364448495064728e-07	6.477620651348487e-05	16.84880952380952	2.3067341258246574e-05	0.00016147138880772603
ti|652611|org|Pseudomonas_aeruginosa_PA14	1.3890247204428442e-07	3.8445568763744295e-06	1.0	3.8445568763744295e-06	0.0	0.00023841442969756128	0.0002359917162614504	61.38333333333334	5.3823796269242006e-05	0.00038830024451381735
ti|413502|org|Cronobacter_turicensis	2.617507424942452e-08	3.460101188736986e-05	9.0	3.460101188736986e-05	0.0	2.6190953512892056e-08	3.6523290325557075e-05	9.5	3.460101188736986e-05	3.8445568763744295e-06
ti|1157690|org|Cloning_vector_pEAI3-S54	2.620582594240635e-09	1.1533670629123287e-05	3.0	1.1533670629123287e-05	0.0	1.3689044445541616e-05	4.869772043407611e-05	12.666666666666668	4.229012564011872e-05	1.5378227505497718e-05
ti|1294143|org|Pseudomonas_denitrificans_ATCC_13867	1.6632690833402492e-09	3.8445568763744295e-06	1.0	3.8445568763744295e-06	0.0	5.521723732324452e-07	0.0012158766019642949	316.2592311837288	0.0010956987097667122	0.00045365771141218263
