Taxname,Taxid,GI,Accession,DNA type,Length,GC,Random
Bacillus sp. 1NLA3E,666686,484574986,CP005586.1,Genome,4815602,37.9541540185,27256
Bacillus amyloliquefaciens CC178,1412898,556017688,CP006845.1,Genome,3916828,46.46423075,89957
Bacillus amyloliquefaciens DSM 7,692420,307604755,FN597644.1,Genome,3980199,46.082344124,47951
Bacillus amyloliquefaciens FZB42,326423,154350369,CP000560.1,Genome,3918589,46.4756574369,85316
Bacillus amyloliquefaciens IT-45,1091041,449848517,CP004065.1,Genome,3928857,46.6202002262,80424
Bacillus amyloliquefaciens IT-45,1091041,449852369,CP004119.1,Plasmid,8009,40.4669746535,80424
Bacillus amyloliquefaciens LFB112,1415165,566054861,CP006952.1,Genome,3942754,46.6502855618,98376
Bacillus amyloliquefaciens LL3,1001582,328909959,CP002634.1,Genome,3995227,45.7053879542,14458
Bacillus amyloliquefaciens LL3,1001582,328914179,CP002635.1,Plasmid,6758,41.9502811483,14458
Bacillus amyloliquefaciens subsp. plantarum AS43.3,1225788,429485121,CP003838.1,Genome,3961368,46.5872900473,7169
Bacillus amyloliquefaciens subsp. plantarum UCMB5036,1150475,452078322,HF563562.1,Genome,3910324,46.5994377959,49706
Bacillus amyloliquefaciens subsp. plantarum UCMB5113,1150476,530335850,HG328254.1,Genome,3889532,46.7091670669,30057
Bacillus amyloliquefaciens TA208,999891,328551700,CP002627.1,Genome,3937511,45.8252688056,44902
Bacillus amyloliquefaciens subsp. plantarum CAU B946,1114958,371566684,HE617159.1,Genome,4019861,46.5065085584,32134
Bacillus amyloliquefaciens XH7,1034836,341825903,CP002927.1,Genome,3939203,45.8209947545,86284
Bacillus amyloliquefaciens Y2,1126211,387170633,CP003332.1,Genome,4238624,45.8543149852,19141
Bacillus anthracis str. A0248,592021,229264195,CP001597.1,Plasmid,94830,33.043340715,47754
Bacillus anthracis str. A0248,592021,229264291,CP001598.1,Genome,5227419,35.3771526637,47754
Bacillus anthracis str. A0248,592021,229269332,CP001599.1,Plasmid,181677,32.5297093193,47754
Bacillus anthracis str. A16R,673518,570710095,CP001974.1,Genome,5227683,35.3794023088,37853
Bacillus anthracis str. A16R,673518,570715797,CP001975.1,Plasmid,181763,32.5302729378,37853
Bacillus anthracis str. A16,743835,570716017,CP001970.1,Genome,5227898,35.3780812097,98913
Bacillus anthracis str. A16,743835,570721649,CP001971.1,Plasmid,181764,32.5317444598,98913
Bacillus anthracis str. A16,743835,570721873,CP001972.1,Plasmid,94839,33.0454770717,98913
Bacillus anthracis str. 'Ames Ancestor',261594,50082967,AE017334.2,Genome,5227419,35.3771526637,98099
Bacillus anthracis str. 'Ames Ancestor',261594,50118566,AE017335.3,Plasmid,94830,33.043340715,98099
Bacillus anthracis str. 'Ames Ancestor',261594,47552137,AE017336.2,Plasmid,181677,32.5297093193,98099
Bacillus anthracis str. Ames,198094,30260185,AE016879.1,Genome,5227293,35.3768384516,81225
Bacillus anthracis str. CDC 684,568206,227002220,CP001214.1,Plasmid,94875,33.0529644269,86956
Bacillus anthracis str. CDC 684,568206,227002338,CP001215.1,Genome,5230115,35.3808281462,86956
Bacillus anthracis str. CDC 684,568206,227007918,CP001216.1,Plasmid,181773,32.5312340117,86956
Bacillus cereus biovar anthracis str. CI,637380,300373910,CP001746.1,Genome,5196054,35.3801942782,43052
Bacillus cereus biovar anthracis str. CI,637380,300379132,CP001747.1,Plasmid,181907,32.5386048915,43052
Bacillus cereus biovar anthracis str. CI,637380,300379343,CP001748.1,Plasmid,94469,33.0902200722,43052
Bacillus cereus biovar anthracis str. CI,637380,300379453,CP001749.1,Plasmid,14219,37.9070258105,43052
Bacillus anthracis str. H9401,768494,384383725,CP002091.1,Genome,5218947,35.3662913228,90192
Bacillus anthracis str. H9401,768494,384389205,CP002092.1,Plasmid,181700,32.5305448542,90192
Bacillus anthracis str. H9401,768494,384389408,CP002093.1,Plasmid,94824,33.053868219,90192
Bacillus anthracis str. Sterne,260799,49176966,AE017225.1,Genome,5228663,35.3794459501,98907
Bacillus atrophaeus 1942,720555,310867486,CP002207.1,Genome,4168266,43.2192907075,96307
Bacillus cellulosilyticus DSM 2522,649639,315471689,CP002394.1,Genome,4681672,36.5219519864,45595
Bacillus cereus 03BB102,572264,225785421,CP001406.1,Plasmid,179680,32.168855743500004,50237
Bacillus cereus 03BB102,572264,225785631,CP001407.1,Genome,5269628,35.4405092731,50237
Bacillus cereus AH187,405534,217062892,CP001177.1,Genome,5269030,35.5912188771,22087
Bacillus cereus AH187,405534,217068328,CP001178.1,Plasmid,12481,31.0632160885,22087
Bacillus cereus AH187,405534,217068352,CP001179.1,Plasmid,270082,34.1574040477,22087
Bacillus cereus AH187,405534,217068626,CP001180.1,Plasmid,45173,35.4570207868,22087
Bacillus cereus AH187,405534,217068687,CP001181.1,Plasmid,3091,34.9077968295,22087
Bacillus cereus AH820,405535,218534755,CP001283.1,Genome,5302683,35.3990423339,47706
Bacillus cereus AH820,405535,218540230,CP001284.1,Plasmid,3091,34.9401488192,47706
Bacillus cereus AH820,405535,218540236,CP001285.1,Plasmid,272145,33.639420162,47706
Bacillus cereus AH820,405535,218540557,CP001286.1,Plasmid,10915,33.6142922584,47706
Bacillus cereus ATCC 10987,222523,42740913,AE017194.1,Genome,5224283,35.5766331954,31250
Bacillus cereus ATCC 10987,222523,42741405,AE017195.1,Plasmid,208369,33.4397151208,31250
Bacillus cereus ATCC 14579,226900,29899096,AE016877.1,Genome,5411809,35.2806242792,18858
Bacillus cereus ATCC 14579,226900,49660328,AE016878.2,Plasmid,15274,38.025402645,18858
Bacillus cereus B4264,405532,218158707,CP001176.1,Genome,5419036,35.3035669075,99155
Bacillus cereus F837/76,347495,364509831,CP003187.1,Genome,5222906,35.3741001657,34204
Bacillus cereus F837/76,347495,364515227,CP003188.1,Plasmid,55304,36.1890640822,34204
Bacillus cereus F837/76,347495,364515372,CP003189.1,Plasmid,10288,31.0847589425,34204
Bacillus cereus FRI-35,1217984,401794054,CP003747.1,Genome,5083176,35.6007543315,67580
Bacillus cereus FRI-35,1217984,401799202,CP003748.1,Plasmid,218786,33.4134725257,67580
Bacillus cereus FRI-35,1217984,401799416,CP003749.1,Plasmid,40993,32.5177469324,67580
Bacillus cereus FRI-35,1217984,401799459,CP003750.1,Plasmid,36273,30.7198191492,67580
Bacillus cereus FRI-35,1217984,401799491,CP003751.1,Plasmid,3091,34.9077968295,67580
Bacillus cereus G9842,405531,218540569,CP001186.1,Genome,5387334,35.2642698596,87454
Bacillus cereus G9842,405531,218546058,CP001187.1,Plasmid,209488,30.0313144428,87454
Bacillus cereus G9842,405531,218546310,CP001188.1,Plasmid,140001,32.9004792823,87454
Bacillus cereus NC7401,334406,358350621,AP007209.1,Genome,5221581,35.5937406697,13255
Bacillus cereus NC7401,334406,358356037,AP007210.1,Plasmid,270082,34.1577743056,13255
Bacillus cereus NC7401,334406,358356305,AP007211.1,Plasmid,47972,36.5358959393,13255
Bacillus cereus NC7401,334406,358356370,AP007212.1,Plasmid,5436,34.1427520235,13255
Bacillus cereus NC7401,334406,358356381,AP007213.1,Plasmid,3869,34.660118893800004,13255
Bacillus cereus NC7401,334406,358356385,AP007214.1,Plasmid,3091,34.9077968295,13255
Bacillus cereus Q1,361100,221237819,CP000227.1,Genome,5214195,35.56240225,43655
Bacillus cereus Q1,361100,221243025,CP000228.1,Plasmid,239246,33.4948128704,43655
Bacillus cereus Q1,361100,221243254,CP000229.1,Plasmid,52766,35.0831975136,43655
Bacillus cereus E33L,288681,51973633,CP000001.1,Genome,5300915,35.3518967952,38540
Bacillus cereus E33L,288681,66970195,CP000040.1,Plasmid,466370,33.1221991123,38540
Bacillus cereus E33L,288681,66970626,CP000041.1,Plasmid,5108,30.8927173062,38540
Bacillus cereus E33L,288681,66970632,CP000042.1,Plasmid,53501,31.945197286,38540
Bacillus cereus E33L,288681,66970687,CP000043.1,Plasmid,8191,31.900866805,38540
Bacillus cereus E33L,288681,66970696,CP000044.1,Plasmid,9150,31.0054644809,38540
Bacillus coagulans 2-6,941639,335366109,CP002472.1,Genome,3073079,47.292048138,16562
Bacillus coagulans 36D1,345219,347582959,CP003056.1,Genome,3552226,46.4871041426,99204
