Total Number of Aligned Reads:	209240	Total Number of Mapped Genomes:	14288
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|214092|org|Yersinia_pestis_CO92	0.8594448290654466	0.8741923150449245	182916.0	0.8741875358440069	4.779200917606576e-06	0.27161402426634496	0.2606502917115823	54538.46703773149	0.05227489963678073	0.7843337793920856
ti|547048|org|Yersinia_pestis_biovar_Medievalis_str._Harbin_35	0.10544229428337319	0.08995889887210859	18823.0	0.08993500286752056	2.389600458803288e-05	0.2451583240273129	0.2241687759102873	46905.074671468516	0.032465111833301474	0.7353660867902887
ti|386656|org|Yersinia_pestis_Pestoides_F	0.025160220111032333	0.021879181800802904	4578.0	0.021879181800802904	0.0	0.23523980185763982	0.2118642382221853	44330.473205610055	0.029210476008411392	0.7220225578283311
ti|349746|org|Yersinia_pestis_Angola	0.007464365637633423	0.007359969413114127	1540.0	0.007359969413114127	0.0	0.2173428119101717	0.1871108161731399	39151.067176067794	0.02676352513859683	0.6447906709998088
ti|32630|org|synthetic_construct	0.0011013867662224316	0.0020168227872299754	422.0	0.002007264385394762	9.558401835213152e-06	0.020912280443773884	0.021513461505789946	4501.476685471488	0.0021697572165933856	0.1074794494360543
ti|633|org|Yersinia_pseudotuberculosis	0.000713397532348807	0.001003632192697381	210.0	0.001003632192697381	0.0	0.0011486205401114913	0.0022860703996352796	478.3373704196859	0.0009462817816861021	0.022844580386159434
ti|632|org|Yersinia_pestis	0.00041435419406436264	0.0004540240871726247	95.0	0.0004540240871726247	0.0	0.0021850698722855172	0.004091072384151284	856.0159856598146	0.0006117377174536417	0.03933760275281973
ti|2665|org|Plasmid_pYV03	6.587785647664081e-05	0.0005687249091951825	119.0	0.0005687249091951825	0.0	6.587785647668946e-05	0.0005693246520554312	119.12549019607843	0.0005687249091951825	9.558401835213152e-06
ti|637386|org|Yersinia_pestis_Z176003	6.030988923556381e-05	7.168801376409865e-05	15.0	7.168801376409865e-05	0.0	0.00031415566079006404	0.007257022776750799	1518.4594458073373	6.690881284649206e-05	0.07172146817052188
ti|637382|org|Yersinia_pestis_D106004	3.606507747490856e-05	2.389600458803288e-05	5.0	2.389600458803288e-05	0.0	0.0007370674089593336	0.009880901151187858	2067.4797568745475	0.000563945708277576	0.07835499904415982
ti|220341|org|Salmonella_enterica_subsp._enterica_serovar_Typhi_str._CT18	2.396513818584882e-05	0.0008029057541579048	168.0	0.0008029057541579048	0.0	0.00012656571443091474	0.0007671313168210472	160.5145567316359	0.0007742305486522653	2.867520550563946e-05
ti|1177632|org|Salmonella_phage_SSU5	2.3012960013014792e-05	0.00039667367616134583	83.0	0.00039667367616134583	0.0	0.00010603322248887617	0.0005161536991015102	108.0	0.0005257121009367234	2.389600458803288e-05
ti|630|org|Yersinia_enterocolitica	1.4855372720234389e-05	0.0008602561651691837	180.0	0.0008602561651691837	0.0	1.5426260272993453e-05	0.0009247829172912755	193.50157761402647	0.0009032689734276429	0.0005926209137832154
ti|880632|org|Yersinia_pestis_Java_9	1.47436732127279e-05	9.558401835213152e-06	2.0	9.558401835213152e-06	0.0	0.00020621787682329642	0.0011986270715364947	250.80072844829616	2.867520550563946e-05	0.015059262091378322
ti|1035377|org|Yersinia_pestis_A1122	1.2829721164348694e-05	5.257121009367234e-05	11.0	5.257121009367234e-05	0.0	4.718281200436296e-05	0.006385424076126067	1336.0861336886182	9.558401835213153e-05	0.06501147008220226
ti|502801|org|Yersinia_pseudotuberculosis_PB1/+	7.079493995214784e-06	5.735041101127892e-05	12.0	5.735041101127892e-05	0.0	2.3598294939876697e-05	0.003706717036922829	775.5934728057327	5.735041101127892e-05	0.049832727967883766
ti|34045|org|Yersinia_enterocolitica_(type_O:13)	3.7717596355320787e-07	0.00018160963486904988	38.0	0.00018160963486904988	0.0	3.7717639300232287e-07	0.00018160963486904988	38.0	0.00018160963486904988	0.0
ti|1133852|org|Escherichia_coli_O104:H4_str._2011C-3493	2.0779324814005112e-08	2.389600458803288e-05	5.0	2.389600458803288e-05	0.0	1.7599327585226114e-08	0.0002441676310470853	51.08963512029212	9.558401835213152e-06	0.0063228828139935
ti|913028|org|Yersinia_enterocolitica_W22703	1.0596629698842976e-08	6.690881284649206e-05	14.0	4.779200917606576e-05	1.9116803670426305e-05	4.5534473713128425e-08	0.00021349932299926676	44.67259834436658	0.00011470082202255783	0.0013142802523418084
ti|930944|org|Yersinia_enterocolitica_subsp._palearctica_Y11	3.824793990676498e-09	4.779200917606576e-06	1.0	4.779200917606576e-06	0.0	1.1021632468905098e-06	0.0002616240399905797	54.7422141276289	0.00017683043395144333	0.0010179697954502008
ti|393305|org|Yersinia_enterocolitica_subsp._enterocolitica_8081	8.514756562804089e-10	9.558401835213152e-06	2.0	9.558401835213152e-06	0.0	7.134319403176548e-07	0.00044133608330714446	92.3451620711869	0.00033932326515006693	0.0013907474670235137
ti|77133|org|uncultured_bacterium	3.957765230817507e-17	4.779200917606576e-06	1.0	4.779200917606576e-06	0.0	8.808129390884703e-15	3.242014467305647e-05	6.783591071390337	1.9116803670426305e-05	8.602561651691837e-05
