Total Number of Aligned Reads:	204740	Total Number of Mapped Genomes:	14111
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|547048|org|Yersinia_pestis_biovar_Medievalis_str._Harbin_35	0.8484529684845474	0.8634072482172511	176774.0	0.8634023639738204	4.884243430692586e-06	0.26698290917033674	0.27677767501363343	56667.46118229131	0.04435381459411937	0.7930985640324314
ti|214092|org|Yersinia_pestis_CO92	0.11945493202113065	0.10035166552700987	20546.0	0.10033212855328709	1.9536973722770343e-05	0.2589650682725557	0.23524460791518928	48163.981024555855	0.04245384389957996	0.7467226726580053
ti|386656|org|Yersinia_pestis_Pestoides_F	0.02306513436042336	0.02179349418775032	4462.0	0.021788609944319626	4.884243430692586e-06	0.23194557171505567	0.2018882384332216	41334.59793681779	0.027625280843997266	0.6985347269707922
ti|349746|org|Yersinia_pestis_Angola	0.006779719754761893	0.007399628797499267	1515.0	0.007394744554068575	4.884243430692586e-06	0.2117399757378122	0.1767857695763673	36195.11846306544	0.023224577512943247	0.6212904171143889
ti|32630|org|synthetic_construct	0.0009617596998048903	0.002061150727752271	422.0	0.002061150727752271	0.0	0.020449324446196203	0.020552716042650097	4207.963082572181	0.0021392986226433527	0.10411253296864316
ti|633|org|Yersinia_pseudotuberculosis	0.0006686181766388719	0.0010501123375989058	215.0	0.0010501123375989058	0.0	0.0010635505452048096	0.002383465381255405	487.99070215823156	0.0010208068770147505	0.022452867050893815
ti|632|org|Yersinia_pestis	0.0003034072658734617	0.0003370127967177884	69.0	0.0003370127967177884	0.0	0.0021299526326502578	0.003912290128363832	801.0022808812109	0.0005714564813910325	0.03518120543127869
ti|2665|org|Plasmid_pYV03	7.751667777732647e-05	0.0005909934551138029	121.0	0.0005909934551138029	0.0	7.751667528304564e-05	0.0005888565986128749	120.5625	0.0005861092116831103	9.768486861385172e-06
ti|637386|org|Yersinia_pestis_Z176003	7.52064070481741e-05	7.814789489108137e-05	16.0	7.814789489108137e-05	0.0	0.00039406694624825227	0.007131203033138383	1460.0425090047524	8.303213832177396e-05	0.07065058122496826
ti|880632|org|Yersinia_pestis_Java_9	4.8042083044317433e-05	4.8842434306925856e-05	10.0	4.8842434306925856e-05	0.0	0.0002581350661033999	0.0012998656702580735	266.13449732863796	6.349516459900362e-05	0.015287681938067793
ti|1177632|org|Salmonella_phage_SSU5	3.239624077221322e-05	0.0006642571065741917	136.0	0.0006642571065741917	0.0	0.00012398153814975862	0.000700888932304386	143.5	0.0007179837843118101	1.9536973722770343e-05
ti|220341|org|Salmonella_enterica_subsp._enterica_serovar_Typhi_str._CT18	3.000191211193126e-05	0.0006496043762821139	133.0	0.0006496043762821139	0.0	0.00015022406583993525	0.0008182422244456524	167.52691303300287	0.0008352056266484321	1.9536973722770343e-05
ti|1035377|org|Yersinia_pestis_A1122	2.816946976114101e-05	8.791638175246654e-05	18.0	8.791638175246654e-05	0.0	9.110775115493341e-05	0.006198900098966852	1269.1628062624734	0.0001709485200742405	0.0642961805216372
ti|630|org|Yersinia_enterocolitica	1.5200954157686569e-05	0.001025691120445443	210.0	0.001025691120445443	0.0	1.5446164887203166e-05	0.0010765299603673164	220.40874408560435	0.0010452280941682134	0.0004053922047474846
ti|502801|org|Yersinia_pseudotuberculosis_PB1/+	6.605008972722523e-06	0.00016118003321285532	33.0	0.00016118003321285532	0.0	3.936850493477871e-05	0.0035472617997292662	726.26638087657	7.814789489108137e-05	0.04612679495946078
ti|34045|org|Yersinia_enterocolitica_(type_O:13)	3.013488886559808e-07	0.00018560125036631825	38.0	0.00018560125036631825	0.0	3.0134962393754164e-07	0.00019048549379701085	39.0	0.00019048549379701085	0.0
ti|273123|org|Yersinia_pseudotuberculosis_IP_32953	1.0032772634003524e-08	4.884243430692586e-06	1.0	4.884243430692586e-06	0.0	0.00014149911684226932	0.003904832447055519	799.475395210147	0.0002393279281039367	0.047675100126990326
ti|913028|org|Yersinia_enterocolitica_W22703	8.466588269335834e-09	7.326365146038879e-05	15.0	7.326365146038879e-05	0.0	1.8255823253703283e-08	0.00024272248892511213	49.695002382527456	0.0001318745726286998	0.0012454820748266093
ti|393305|org|Yersinia_enterocolitica_subsp._enterocolitica_8081	1.6356377397168185e-09	2.4421217153462928e-05	5.0	2.4421217153462928e-05	0.0	8.381818749872953e-07	0.00048418197863487136	99.13141830570356	0.00036631825730194394	0.0012454820748266093
ti|77133|org|uncultured_bacterium	3.2013274419530813e-17	4.884243430692586e-06	1.0	4.884243430692586e-06	0.0	3.3075097088554694e-14	3.622590496615637e-05	7.416891782770854	2.4421217153462928e-05	7.814789489108137e-05
