Total Number of Aligned Reads:	183280	Total Number of Mapped Genomes:	15317
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|1204343|org|Bacillus_subtilis_BEST7613	0.8535822465646402	0.8415866433871672	154246.0	0.8415811872544741	5.4561326931470975e-06	0.4797925741582565	0.4521414998784627	82868.49409772464	0.16927106067219555	0.6553688345700568
ti|1204342|org|Bacillus_subtilis_BEST7003	0.09504056896745368	0.08292776080314274	15199.0	0.08292776080314274	0.0	0.40787912189134745	0.38568848000670247	70688.98461562843	0.10778044522042776	0.6486086861632475
ti|1147161|org|Bacillus_subtilis_subsp._subtilis_6051-HGW	0.0384701750348571	0.03743998254037538	6862.0	0.03743452640768224	5.4561326931470975e-06	0.02702336100233362	0.03061240773543517	5610.642089750558	0.015517241379310345	0.08813291139240506
ti|1423|org|Bacillus_subtilis	0.005937909295377991	0.009711916193801833	1780.0	0.009711916193801833	0.0	0.034948019365945646	0.03626959047973472	6647.490543125779	0.011043212570929726	0.08029790484504583
ti|66797|org|Bacillus_phage_SPbeta	0.004946412325614107	0.004206678306416412	771.0	0.004206678306416412	0.0	0.010593185911595391	0.009758747999417845	1788.5833333333028	0.0032300305543430815	0.026096682671322566
ti|1220533|org|Bacillus_subtilis_QB928	0.0010400524884208546	0.0009329986905281536	171.0	0.0009329986905281536	0.0	0.018471508133702155	0.021460851577261113	3933.3448770804166	0.0027171540811872547	0.08224574421649934
ti|535026|org|Bacillus_subtilis_subsp._subtilis_str._NCIB_3610	0.00036946857265093705	0.0005674378000872981	104.0	0.0005674378000872981	0.0	0.0004619704634221967	0.0007288539575443936	133.58435333873646	0.00047468354430379745	0.001113051069402008
ti|224308|org|Bacillus_subtilis_subsp._subtilis_str._168	0.0003490736420408394	0.00032191182889567874	59.0	0.00032191182889567874	0.0	0.01585827338283399	0.01931768319013396	3540.544975087752	0.0029954168485377564	0.07550196420776953
ti|881626|org|Cloning_vector_pYFPamy	0.00011661344620797297	0.00037647315582714974	69.0	0.00037647315582714974	0.0	6.956086750865449e-05	0.00017958570151610322	32.914467373871396	0.0001855085115670013	0.0002455259711916194
ti|1127744|org|Bacillus_sp._JS	6.707123846268524e-05	0.011845264076822348	2171.0	0.011845264076822348	0.0	0.0016180552725350889	0.015423503922364207	2826.819798890912	0.014573330423395897	0.006225447402880838
ti|1227747|org|Bacillus_subtilis_Miyagi-4	4.654606328565045e-05	0.00013094718463553033	24.0	0.00013094718463553033	0.0	5.275182506320737e-05	0.0001559373352531362	28.5801948051948	0.00013094718463553033	0.00012549105194238324
ti|936156|org|Bacillus_subtilis_BSn5	1.8030326470398328e-05	0.00010366652116979485	19.0	0.00010366652116979485	0.0	1.8286385609937957e-05	0.001644051724265961	301.3218000234653	0.00010366652116979485	0.011981667394151026
ti|1052585|org|Bacillus_subtilis_subsp._spizizenii_TU-B-10	7.386721641634232e-06	0.004785028371890004	877.0	0.004785028371890004	0.0	0.00014981982950314237	0.005171486239598977	947.8299979937005	0.0046922741161065035	0.004446748144914884
ti|7038|org|Bemisia_tabaci	2.7796953926722897e-06	0.00011457878655608905	21.0	0.00011457878655608905	0.0	2.7796953802237493e-06	0.000114847390278838	21.049229690305427	0.00011457878655608905	5.4561326931470975e-06
ti|10736|org|Bacillus_phage_phi3T	1.9837337274825955e-06	1.0912265386294195e-05	2.0	1.0912265386294195e-05	0.0	0.0001225297628470952	9.502764440564527e-05	17.416666666666664	1.0912265386294195e-05	0.0003601047577477084
ti|1225788|org|Bacillus_amyloliquefaciens_subsp._plantarum_AS43.3	1.789722565007086e-06	0.003922959406372763	719.0	0.003912047140986469	1.0912265386294195e-05	1.4208493128388411e-05	0.0036535001161449128	669.6135012870396	0.003311872544740288	0.0033828022697512004
ti|1192196|org|Bacillus_subtilis_subsp._subtilis_str._BSP1	8.174687880231017e-07	2.182453077258839e-05	4.0	2.182453077258839e-05	0.0	0.001190777419243765	0.002396051899767105	439.1483921893151	5.456132693147097e-05	0.01571366215626364
ti|227866|org|Bacillus_tequilensis	7.423487381880391e-07	4.364906154517678e-05	8.0	4.364906154517678e-05	0.0	1.2043428565725734e-05	6.66815184578729e-05	12.221388702958945	4.364906154517678e-05	0.0002018769096464426
ti|655816|org|Bacillus_subtilis_subsp._spizizenii_str._W23	3.1019952268035483e-07	0.000894805761676124	164.0	0.0008893496289829768	5.4561326931470975e-06	7.526724852796948e-05	0.0024402875453887556	447.2559013188511	0.002007856831078132	0.004157573112178088
ti|1404|org|Bacillus_megaterium	2.2144824352398486e-08	5.456132693147097e-05	10.0	5.456132693147097e-05	0.0	2.2181672577227332e-08	5.4912336252946824e-05	10.064332988440094	5.456132693147097e-05	0.0
