Total Number of Aligned Reads:	207180	Total Number of Mapped Genomes:	9284
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|214092|org|Yersinia_pestis_CO92	0.7498166334376345	0.8081957717926441	167442.0	0.8081330244232069	6.274736943720437e-05	0.22308222730136265	0.22036874158626435	45655.995881842246	0.034694468578048074	0.6972342890240371
ti|386656|org|Yersinia_pestis_Pestoides_F	0.12281929126692612	0.09849888985423304	20407.0	0.09824307365575828	0.00025581619847475623	0.2227485994573578	0.21805139046813998	45175.88707718924	0.03231972198088619	0.6800946037262284
ti|502801|org|Yersinia_pseudotuberculosis_PB1/+	0.09284160615105859	0.0609856163722367	12635.0	0.06087942851626605	0.00010618785597065353	0.06532688826400687	0.06432665867932473	13327.197145182497	0.03988319335843228	0.07875277536441741
ti|547048|org|Yersinia_pestis_biovar_Medievalis_str._Harbin_35	0.017226265162435216	0.014924220484602761	3092.0	0.014909740322424944	1.4480162177816392e-05	0.22005690296417066	0.20792986154733215	43078.908715376274	0.0317115551694179	0.6641760787720823
ti|273123|org|Yersinia_pseudotuberculosis_IP_32953	0.006481241539768311	0.004117192779225794	853.0	0.004112366058499855	4.8267207259387975e-06	0.020001519682758977	0.025054954285397963	5190.88542884875	0.009344531325417512	0.06821604401969301
ti|349746|org|Yersinia_pestis_Angola	0.006269968517585557	0.00678154261994401	1405.0	0.00678154261994401	0.0	0.2050940330405431	0.1907541312552186	39520.44091345619	0.027869485471570615	0.6163529298194806
ti|633|org|Yersinia_pseudotuberculosis	0.001980488855372516	0.001496283425041027	310.0	0.0014673231006853942	2.8960324355632783e-05	0.0056085227881880586	0.004548065278309945	942.2681643602543	0.0030746211024230137	0.012477073076551791
ti|502800|org|Yersinia_pseudotuberculosis_YPIII	0.0009757905230928825	0.0008157158026836567	169.0	0.0008157158026836567	0.0	0.007876622463516697	0.007537260734877027	1561.5696790518225	0.002027222704894295	0.031035814267786465
ti|632|org|Yersinia_pestis	0.0007472777541249533	0.0005405927213051453	112.0	0.0005405927213051453	0.0	0.0027389368999311534	0.0029915156027834227	619.7822025846696	0.0012452939472922097	0.016333622936576888
ti|32630|org|synthetic_construct	0.0006213098036146163	0.001259774109470026	261.0	0.001259774109470026	0.0	0.02110788478939373	0.01974231575155817	4090.2129774078217	0.0017327927406120282	0.08844000386137658
ti|2665|org|Plasmid_pYV03	0.0001603733284016331	0.0005792064871126556	120.0	0.0005792064871126556	0.0	0.0001603733284016425	0.0005795282684943849	120.06666666666666	0.0005792064871126556	4.8267207259387975e-06
ti|1035377|org|Yersinia_pestis_A1122	2.711560786932218e-05	0.00010618785597065353	22.0	0.00010618785597065353	0.0	4.414723736428838e-05	0.0022795901443774568	472.2854861121215	0.00011584129742253113	0.027116517038324163
ti|630|org|Yersinia_enterocolitica	2.5158144075048565e-05	0.000979824307365576	203.0	0.000979824307365576	0.0	2.55121633382564e-05	0.001077360171298898	223.2074802897057	0.0010039579109952699	0.0007722753161502076
ti|349747|org|Yersinia_pseudotuberculosis_IP_31758	3.383855757685682e-06	0.00024616275702287865	51.0	0.00024616275702287865	0.0	0.004519306878116676	0.006023659375852639	1247.9817494891497	0.000593686649290472	0.029916015059368663
ti|34045|org|Yersinia_enterocolitica_(type_O:13)	2.1486665609613694e-06	0.0001641085046819191	34.0	0.0001641085046819191	0.0	2.148666573868448e-06	0.0001641085046819191	34.0	0.0001641085046819191	0.0
ti|216592|org|Escherichia_coli_042	1.329193624407861e-06	3.861376580751038e-05	8.0	3.861376580751038e-05	0.0	1.5041693288598125e-07	0.0003033712602301712	62.85245769448687	0.0	0.003914470508736364
ti|229193|org|Yersinia_pestis_biovar_Microtus_str._91001	5.810638446964329e-07	3.861376580751038e-05	8.0	3.861376580751038e-05	0.0	0.0008896839014186493	0.00419864689272221	869.8756632341874	0.0008591562892171059	0.03786079737426393
ti|913028|org|Yersinia_enterocolitica_W22703	1.9493853679203108e-08	6.757409016314316e-05	14.0	6.274736943720437e-05	4.8267207259387975e-06	3.6683858407230026e-07	0.00020608872321102963	42.69746167486112	5.309392798532677e-05	0.0014480162177816392
ti|393305|org|Yersinia_enterocolitica_subsp._enterocolitica_8081	1.763502617413344e-08	0.00013997490105222511	29.0	0.00013514818032628632	4.8267207259387975e-06	1.4695376223259022e-06	0.0004890625677730245	101.32398279121522	0.0003523506129935322	0.0014383627763297616
ti|77133|org|uncultured_bacterium	1.1865995271967528e-16	2.4133603629693987e-05	5.0	2.4133603629693987e-05	0.0	1.832800170609973e-12	0.00011866123328929235	24.58423431287559	0.00010136113524471474	0.0001785886668597355
