Total Number of Aligned Reads:	287030	Total Number of Mapped Genomes:	10658
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|557722|org|Pseudomonas_aeruginosa_LESB58	0.9343524793044786	0.8991290109047835	258077.0	0.8991220429920217	6.967912761732223e-06	0.5070953381589538	0.679737509806629	195105.0574397967	0.39898965264954883	0.4826220255722398
ti|941193|org|Pseudomonas_aeruginosa_M18	0.045222592418582334	0.06138382747448002	17619.0	0.06136989164895656	1.3935825523464447e-05	0.2022075145574944	0.12457993343368949	35758.178293471894	0.041183848378218306	0.2253527505835627
ti|287|org|Pseudomonas_aeruginosa	0.012170582665943694	0.018224575828310628	5231.0	0.018207156046406298	1.741978190433056e-05	0.017539914626074477	0.019310375430053883	5542.657059688366	0.014033376302128697	0.019548479253039753
ti|208964|org|Pseudomonas_aeruginosa_PAO1	0.002496361664532829	0.0047068250705501165	1351.0	0.004661533637598857	4.529143295125945e-05	0.1594169958375159	0.09007357458344983	25853.818112687604	0.015311988293906561	0.19718844720064105
ti|1280938|org|Pseudomonas_aeruginosa_B136-33	0.002460211588582771	0.006225830052607741	1787.0	0.006201442357941679	2.438769466606278e-05	0.0847699426547881	0.030687850735548687	8808.33379662454	0.011995261819322022	0.060251541650698535
ti|1163399|org|Stenotrophomonas_maltophilia_D457	0.0014830639055594388	0.0020868898721388006	599.0	0.0020868898721388006	0.0	0.0020228193924427505	0.0025792130019040124	740.3115079365086	0.0020764380029962026	0.003093753266209107
ti|1093100|org|Pseudomonas_phage_F_HA0480sp/Pa1651	0.0006487060851410383	0.002093857784900533	601.0	0.002093857784900533	0.0	0.0006074678817321886	0.0017146871987829375	492.1666666666666	0.0017141065393861269	8.361495314078668e-05
ti|10708|org|Pseudomonas_phage_D3112	0.0004192838918318136	0.0021983764763265166	631.0	0.0021983764763265166	0.0	0.0004189154226523134	0.0019700943820373847	565.4761904761905	0.0019301118349998258	5.574330209385779e-05
ti|347324|org|Pseudomonas_phage_F10	0.0003890482515227626	0.001121833954638888	322.0	0.001121833954638888	0.0	0.0006119306575231635	0.002287217364038602	656.5	0.0022541197784203743	8.709890952165279e-05
ti|1093787|org|Pseudomonas_aeruginosa_DK2	0.00022086597179352122	0.0005887886283663729	169.0	0.0005853046719855068	3.4839563808661117e-06	0.01699612190469072	0.016780976493735337	4816.643682996853	0.0017036546702435286	0.051046928892450265
ti|32630|org|synthetic_construct	5.4266180672039875e-05	0.000843117444169599	242.0	0.000843117444169599	0.0	0.0026404378122619207	0.0019260250988641675	552.826984126982	0.0004041389401804689	0.0051632233564435775
ti|266264|org|Cupriavidus_metallidurans_CH34	4.45377533130901e-05	0.00013935825523464447	40.0	0.00013935825523464447	0.0	0.0013762052102885844	0.0014935914557905271	428.705555555555	0.0006758875378880257	0.0031738842629690277
ti|999510|org|Expression_vector_pCon4	2.8347188482776538e-05	0.00020555342647110057	59.0	0.00020555342647110057	0.0	2.8347188482862562e-05	0.00020466320774650918	58.74448051948053	0.00019858551370936835	2.7871651046928894e-05
ti|228095|org|Pseudomonas_sp._M18	3.691420880496601e-06	1.3935825523464447e-05	4.0	1.3935825523464447e-05	0.0	0.0014416071776259724	0.0010698447519746372	307.0775391592801	2.438769466606278e-05	0.0036720900254328817
ti|381754|org|Pseudomonas_aeruginosa_PA7	2.2244395530187042e-06	0.00021600529561369893	62.0	0.00021600529561369893	0.0	4.4098793457132134e-05	0.0008175347268724893	234.6569926542106	0.0002682646413266906	0.002936975229070132
ti|544436|org|Pseudomonas_sp._DF41	1.4390456738291395e-06	3.4839563808661117e-06	1.0	3.4839563808661117e-06	0.0	3.260207539823205e-05	1.8904610933318733e-05	5.426190476190476	3.4839563808661117e-06	7.664704037905446e-05
ti|1009714|org|Pseudomonas_aeruginosa_PAK	5.21800297306159e-07	1.3935825523464447e-05	4.0	1.3935825523464447e-05	0.0	0.0006309027970234195	0.0003999858429708968	114.8079365079365	2.438769466606278e-05	0.0012890638609204612
ti|1089456|org|Pseudomonas_aeruginosa_NCGM2.S1	5.194663704285656e-07	0.0003031042051353517	87.0	0.0003031042051353517	0.0	0.0005840156732649408	0.004369926503027682	1254.3000041640355	0.000623628192175034	0.01616555760721876
ti|593588|org|Vibrio_cholerae_MJ-1236	4.5875643375170695e-07	0.00021252133923283282	61.0	0.00021252133923283282	0.0	4.587568151259682e-07	0.00021600529561369893	62.0	0.00021600529561369893	0.0
ti|937835|org|Pseudomonas_phage_PA1/KOR/2010	4.1722434192075536e-07	4.529143295125945e-05	13.0	4.529143295125945e-05	0.0	4.172244435370874e-07	5.1711866853141284e-05	14.842857142857143	4.529143295125945e-05	2.7871651046928894e-05
ti|413502|org|Cronobacter_turicensis	2.2029980918759062e-07	4.877538933212556e-05	14.0	4.877538933212556e-05	0.0	2.2030179614512002e-07	4.964637842734208e-05	14.249999999999998	4.529143295125945e-05	1.3935825523464447e-05
ti|1129146|org|Pseudomonas_phage_vB_PaeS_PMG1	8.253057172741725e-08	0.00012890638609204614	37.0	0.00012890638609204614	0.0	2.2687888249087173e-05	0.00017245584085287253	49.5	0.00014284221161551058	6.619517123645613e-05
ti|208963|org|Pseudomonas_aeruginosa_UCBPP-PA14	5.93468579607348e-08	3.4839563808661117e-06	1.0	3.4839563808661117e-06	0.0	0.000777659440284052	0.004072100506297732	1168.815008322638	0.00017419781904330558	0.016385046859213322
ti|399739|org|Pseudomonas_mendocina_ymp	1.2532241133342114e-08	5.574330209385779e-05	16.0	5.574330209385779e-05	0.0	2.149636339152505e-08	0.002278531307410527	654.0068411660436	0.002003274918998014	0.0006758875378880257
ti|1225792|org|Pseudomonas_phage_JBD25	6.266865194795605e-09	6.967912761732223e-06	2.0	6.967912761732223e-06	0.0	1.0442052373127188e-06	5.574330209385779e-05	16.0	5.574330209385779e-05	0.0
