Total Number of Aligned Reads:	274022	Total Number of Mapped Genomes:	9838
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|557722|org|Pseudomonas_aeruginosa_LESB58	0.8755789685509858	0.8651458642006846	237069.0	0.8650582799921174	8.758420856719534e-05	0.3020742783854073	0.29336110543533456	80387.39683360125	0.12355577289414718	0.3494938362613221
ti|941193|org|Pseudomonas_aeruginosa_M18	0.08653073312125402	0.07973812321638409	21850.0	0.07965783769186416	8.028552451992906e-05	0.28862139168455486	0.2889533882758712	79179.58536213078	0.11482654677361671	0.35164694805526564
ti|287|org|Pseudomonas_aeruginosa	0.015810462743663482	0.02222814226594945	6091.0	0.02185590937953887	0.00037223288641058015	0.022868591625277306	0.027264802473125217	7471.1557032907185	0.020239250863069387	0.020607834407456335
ti|1280938|org|Pseudomonas_aeruginosa_B136-33	0.011595570680937067	0.019680901533453518	5393.0	0.019527629168460927	0.00015327236499259185	0.12303519137925448	0.10127344730142832	27751.15257643199	0.04567516476779237	0.1133485632540453
ti|208964|org|Pseudomonas_aeruginosa_PAO1	0.006169977450329598	0.00668559458729591	1832.0	0.00663815314098868	4.7441446307230805e-05	0.22669165277533854	0.21653835871234892	59336.274131075275	0.05990394931793797	0.315941785696039
ti|1093787|org|Pseudomonas_aeruginosa_DK2	0.004001930328957033	0.003955886753618323	1084.0	0.00395223741159469	3.649342023633139e-06	0.026853446931308218	0.03738949199629883	10245.543375809799	0.01207932209822569	0.0664034274620286
ti|208963|org|Pseudomonas_aeruginosa_UCBPP-PA14	0.0001461325069474142	0.00047076512104867493	129.0	0.00047076512104867493	0.0	0.0026234262098131602	0.009446565864534138	2588.5668713313735	0.0036639393917276713	0.021133339658859506
ti|32630|org|synthetic_construct	6.614583515314751e-05	0.0008284006393647226	227.0	0.0008284006393647226	0.0	0.0035624758205759152	0.0034265033522392833	938.9373015873128	0.0008977381378137522	0.007857033376882148
ti|999510|org|Expression_vector_pCon4	5.9663337504555195e-05	0.00016057104903985812	44.0	0.00016057104903985812	0.0	5.966333750456104e-05	0.00016018873701833462	43.89523809523809	0.00015327236499259185	2.919473618906511e-05
ti|228095|org|Pseudomonas_sp._M18	2.6619120101923216e-05	2.5545394165431973e-05	7.0	2.5545394165431973e-05	0.0	0.0004292622935475408	0.0006479427526356859	177.55056896273592	9.488289261446161e-05	0.0018027749596747707
ti|381754|org|Pseudomonas_aeruginosa_PA7	5.9416941280324076e-06	0.0006240374860412667	171.0	0.0006240374860412667	0.0	7.18423880908591e-05	0.0020514424076885753	562.1403514396388	0.0009743743203100481	0.00406901635635095
ti|652611|org|Pseudomonas_aeruginosa_PA14	5.469361211784157e-06	9.488289261446161e-05	26.0	9.488289261446161e-05	0.0	0.00024605492100440924	0.00029746481947400113	81.51190476190474	0.00015692170701622497	0.00032844078212698253
ti|544436|org|Pseudomonas_sp._DF41	2.283054955645177e-06	3.649342023633139e-06	1.0	3.649342023633139e-06	0.0	6.004320745954159e-05	6.54361780475742e-05	17.930952380952377	2.5545394165431973e-05	0.000131376312850793
ti|413502|org|Cronobacter_turicensis	5.0495989406185105e-08	3.649342023633139e-05	10.0	3.649342023633139e-05	0.0	5.050192387426149e-08	3.825726888108741e-05	10.483333333333334	3.284407821269825e-05	1.8246710118165694e-05
ti|399739|org|Pseudomonas_mendocina_ymp	3.576697305596687e-08	0.00012772697082715986	35.0	0.00012772697082715986	0.0	4.785424135801838e-08	0.002155307896727812	590.6017804771485	0.0018064243016984037	0.0008575953755537877
ti|996285|org|Pseudomonas_stutzeri_DSM_4166	5.156375776884372e-09	3.284407821269825e-05	9.0	3.284407821269825e-05	0.0	1.1249786235026418e-08	0.0004275841219108065	117.16745625424302	0.00018611644320529007	0.0006568815642539651
ti|1157690|org|Cloning_vector_pEAI3-S54	4.768374073359155e-09	1.4597368094532556e-05	4.0	1.4597368094532556e-05	0.0	8.232073823858224e-06	5.534835402510261e-05	15.166666666666668	4.379210428359767e-05	2.5545394165431973e-05
ti|572278|org|actinobacterium_MSA19	4.512674641620787e-09	2.1896052141798835e-05	6.0	2.1896052141798835e-05	0.0	4.621600236487162e-09	5.3205089662016455e-05	14.579365079365074	4.014276225996453e-05	8.028552451992906e-05
ti|1273707|org|Pseudomonas_phage_H66	1.5144237992725778e-09	0.00011312960273262731	31.0	0.00011312960273262731	0.0	4.367982054367459e-09	0.0003174927560560831	87.0	0.0003101940720088168	1.4597368094532556e-05
ti|1283331|org|Azotobacter_vinelandii_CA6	2.0545725897138834e-33	7.298684047266278e-06	2.0	7.298684047266278e-06	0.0	2.1080980609421693e-09	0.0008072249789227662	221.19740317437424	0.00039777828057601213	0.0009743743203100481
ti|1089456|org|Pseudomonas_aeruginosa_NCGM2.S1	8.863617816170868e-34	3.649342023633139e-06	1.0	3.649342023633139e-06	0.0	0.0016335281794105103	0.0069675896527874185	1909.272851836114	0.0007554137988920597	0.021027508740174148
