Total Number of Aligned Reads:	275110	Total Number of Mapped Genomes:	10032
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|941193|org|Pseudomonas_aeruginosa_M18	0.9230349816002682	0.8920577223655992	245414.0	0.8920504525462543	7.269819344989277e-06	0.49116242983049013	0.6728487285806398	185107.41371981983	0.38038239249754646	0.4966922321980299
ti|557722|org|Pseudomonas_aeruginosa_LESB58	0.07041893231966319	0.09323179818981499	25649.0	0.09322452837046999	7.269819344989277e-06	0.2238572416856886	0.15147661379637586	41672.73122152096	0.06374541092653847	0.2377703464068918
ti|208964|org|Pseudomonas_aeruginosa_PAO1	0.003376163009356792	0.0055250627021918505	1520.0	0.005495983424811893	2.9079277379957108e-05	0.16590145984848673	0.0957718018993098	26347.780420519117	0.01811638980771328	0.20410744792991894
ti|1280938|org|Pseudomonas_aeruginosa_B136-33	0.002460767041565795	0.006124822798153466	1685.0	0.006124822798153466	0.0	0.08470135464048145	0.03200069389303919	8803.710896914012	0.012889389698665989	0.05944894769364981
ti|287|org|Pseudomonas_aeruginosa	0.0005943380902332214	0.0014466940496528661	398.0	0.0014466940496528661	0.0	0.010550000722736546	0.007919346240995809	2178.691344360357	0.0032132601504852604	0.015840936352731635
ti|32630|org|synthetic_construct	4.819135800380504e-05	0.0008396641343462615	231.0	0.0008396641343462615	0.0	0.002631986897221981	0.0020984622024206147	577.3079365079353	0.0006470139217040457	0.005343317218567119
ti|1093787|org|Pseudomonas_aeruginosa_DK2	3.1100961840556824e-05	0.00017447566427974265	48.0	0.00017447566427974265	0.0	0.015897278740814324	0.014908610353575574	4101.507794372176	0.001519392243102759	0.046174257569699395
ti|999510|org|Expression_vector_pCon4	2.4597073313986618e-05	0.0001599360255897641	44.0	0.0001599360255897641	0.0	2.459707331409003e-05	0.0001619698440969932	44.5595238095238	0.0001599360255897641	1.4539638689978554e-05
ti|228095|org|Pseudomonas_sp._M18	5.076418550953238e-06	7.269819344989277e-06	2.0	7.269819344989277e-06	0.0	0.002082001176248993	0.002788055129830359	767.02184676763	0.00010904729017483916	0.007164406964486933
ti|1089456|org|Pseudomonas_aeruginosa_NCGM2.S1	3.5423989263240535e-06	6.179346443240885e-05	17.0	6.179346443240885e-05	0.0	0.001424476948711968	0.0038793274754673826	1067.2417817758317	0.0001235869288648177	0.016437061539020754
ti|381754|org|Pseudomonas_aeruginosa_PA7	9.53888998529862e-07	0.00016720584493475337	46.0	0.00016720584493475337	0.0	3.4414827284471755e-05	0.0007729226428681031	212.63874827944386	0.00018538039329722656	0.0030496892152230017
ti|652611|org|Pseudomonas_aeruginosa_PA14	8.294431125102294e-07	3.6349096724946385e-06	1.0	3.6349096724946385e-06	0.0	0.00021252084370200995	2.663292547338928e-05	7.326984126984125	3.6349096724946385e-06	0.00010177747082984988
ti|413502|org|Cronobacter_turicensis	3.966712578361253e-07	3.2714187052451747e-05	9.0	3.2714187052451747e-05	0.0	3.966747657911882e-07	3.3622914470575406e-05	9.25	2.9079277379957108e-05	1.0904729017483916e-05
ti|208963|org|Pseudomonas_aeruginosa_UCBPP-PA14	9.213441443575545e-08	1.4539638689978554e-05	4.0	1.4539638689978554e-05	0.0	0.0004267329644977681	0.003960977123790137	1089.7044165259047	0.00015630111591726946	0.01622260186834357
ti|399739|org|Pseudomonas_mendocina_ymp	2.5442968818461674e-08	0.00014539638689978554	40.0	0.00014539638689978554	0.0	4.3105149060463825e-08	0.0025007714139632198	687.9872236954213	0.0022245647195667188	0.000694267747446476
ti|1157690|org|Cloning_vector_pEAI3-S54	1.2147917414898041e-08	7.269819344989277e-06	2.0	7.269819344989277e-06	0.0	2.1606975782983233e-05	5.7855645620539676e-05	15.91666666666667	5.088873541492494e-05	2.180945803496783e-05
