Total Number of Aligned Reads:	201990	Total Number of Mapped Genomes:	14618
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|214092|org|Yersinia_pestis_CO92	0.8529715261425019	0.8707262735778999	175878.0	0.870696569137086	2.970444081390168e-05	0.26473748886110754	0.25189743283675564	50880.76245869628	0.0460418832615476	0.7805386405267587
ti|547048|org|Yersinia_pestis_biovar_Medievalis_str._Harbin_35	0.1166783074483906	0.0972424377444428	19642.0	0.0972127333036289	2.970444081390168e-05	0.25470620695455415	0.24107003565566815	48693.73650208841	0.03754641318877172	0.764948759839596
ti|386656|org|Yersinia_pestis_Pestoides_F	0.021767561507744095	0.020807960790138125	4203.0	0.020778256349324224	2.970444081390168e-05	0.23495896636660923	0.21442811369997528	43312.33468625801	0.02724392296648349	0.7303579385118075
ti|349746|org|Yersinia_pestis_Angola	0.007795146608757828	0.007381553542254567	1491.0	0.007381553542254567	0.0	0.2165487983327466	0.18824282936025313	38023.16910247753	0.02408535075993861	0.6499381157483044
ti|32630|org|synthetic_construct	0.0005466420297179199	0.001574335363136789	318.0	0.001574335363136789	0.0	0.020313635866131684	0.021347801411285956	4312.04240706565	0.0017872171889697509	0.10733699688103371
ti|637386|org|Yersinia_pestis_Z176003	0.00010325226918298336	0.00010891628298430615	22.0	0.00010891628298430615	0.0	0.0004021913501038225	0.006631618756418699	1339.520672609013	0.00010396554284865588	0.06620129709391553
ti|220341|org|Salmonella_enterica_subsp._enterica_serovar_Typhi_str._CT18	5.1269157428678526e-05	0.0010644091291648102	215.0	0.0010644091291648102	0.0	0.00014136154586249025	0.0007916127451781628	159.8978583985371	0.0008069706421109956	1.9802960542601117e-05
ti|880632|org|Yersinia_pestis_Java_9	2.878493758822138e-05	4.455666122085252e-05	9.0	4.455666122085252e-05	0.0	0.00026699417199571037	0.0006881185295444484	138.99306178268313	0.00011881776325560672	0.009282637754344274
ti|633|org|Yersinia_pseudotuberculosis	2.853415033080294e-05	0.00015842368434080894	32.0	0.00015842368434080894	0.0	0.0004801037005834968	0.001365580603832209	275.8336261680679	0.00013862072379820784	0.021005990395564136
ti|1035377|org|Yersinia_pestis_A1122	1.6046078948223493e-05	9.90148027130056e-05	20.0	9.90148027130056e-05	0.0	5.418622638905652e-05	0.0062819009669569294	1268.8811763156302	0.00013366998366255755	0.06565176493885835
ti|377628|org|Yersinia_pestis_Nepal516	8.72925712689762e-06	5.940888162780336e-05	12.0	5.940888162780336e-05	0.0	0.00038405236949992546	0.008770337072096498	1771.5203851927718	0.00031189662854596764	0.06844893311550077
ti|1177632|org|Salmonella_phage_SSU5	3.837715679383976e-06	0.00011386702311995643	23.0	0.00011386702311995643	0.0	0.00013363368458663347	0.0005866627060745581	118.5	0.0006039902965493341	9.901480271300559e-06
ti|632|org|Yersinia_pestis	1.2073321767801405e-07	6.435962176345364e-05	13.0	6.435962176345364e-05	0.0	0.001891764697609087	0.003094114083605303	624.9801037474351	0.0002673399673251151	0.03045695331452052
ti|502800|org|Yersinia_pseudotuberculosis_YPIII	7.213123429733425e-08	5.940888162780336e-05	12.0	5.940888162780336e-05	0.0	2.633628589517239e-05	0.00294475849632859	594.8117686734118	9.90148027130056e-05	0.032957077083023915
ti|393305|org|Yersinia_enterocolitica_subsp._enterocolitica_8081	6.120768159151872e-08	0.0002970444081390168	60.0	0.0002920936680033665	4.950740135650279e-06	9.044484782626675e-07	0.0005118951859108932	103.39770860214132	0.00040596069112332293	0.0010545076488935096
ti|913028|org|Yersinia_enterocolitica_W22703	5.302445364222138e-08	9.90148027130056e-05	20.0	9.90148027130056e-05	0.0	7.343949515901648e-08	0.00021181510530305053	42.784533120163175	0.00011386702311995643	0.0010050002475370068
ti|637382|org|Yersinia_pestis_D106004	4.1637917836187295e-08	1.485222040695084e-05	3.0	1.485222040695084e-05	0.0	0.0006566811227059908	0.006886908209608232	1391.086589258767	0.0005198277142432794	0.0665032922421902
ti|273123|org|Yersinia_pseudotuberculosis_IP_32953	1.2045265404633048e-08	6.435962176345364e-05	13.0	6.435962176345364e-05	0.0	5.560254094076091e-05	0.003456429330939176	698.1641605564041	4.95074013565028e-05	0.04453190752017427
ti|1133852|org|Escherichia_coli_O104:H4_str._2011C-3493	1.917629790121672e-09	4.950740135650279e-06	1.0	4.950740135650279e-06	0.0	2.741418855224319e-09	0.0001473232607085384	29.75782543051767	4.950740135650279e-06	0.003925936927570672
ti|77133|org|uncultured_bacterium	4.063738852143017e-17	1.485222040695084e-05	3.0	1.485222040695084e-05	0.0	1.9455928278793116e-13	4.77500492728429e-05	9.645032452621537	3.9605921085202235e-05	6.931036189910392e-05
