Taxname,Taxid,GI,DNA type,Accession,Length
Bacillus anthracis str. Ames,198094,30260185,C,AE016879.1,5227293.0
Clostridium botulinum A str. Hall,441771,152930382,C,CP000727.1,3760560.0
Escherichia coli O157:H7 str. EC4115,444450,209156984,P,CP001163.1,94644.0
Escherichia coli O157:H7 str. EC4115,444450,209157093,C,CP001164.1,5572075.0
Escherichia coli O157:H7 str. EC4115,444450,209162409,P,CP001165.1,37452.0
Francisella tularensis subsp. tularensis SCHU S4,177416,240248234,C,AJ749949.2,1892775.0
Pseudomonas aeruginosa PAO1,208964,110227054,C,AE004091.2,6264404.0
Salmonella enterica subsp. enterica serovar Typhimurium str. D23580,568708,261245233,C,FN424405.1,4879400.0
Staphylococcus aureus subsp. aureus ED133,685039,298693322,C,CP001996.1,2832478.0
Yersinia pestis CO92,214092,5763810,P,AL109969.1,9612.0
Yersinia pestis CO92,214092,5832423,P,AL117189.1,70305.0
Yersinia pestis CO92,214092,5834685,P,AL117211.1,96210.0
Yersinia pestis CO92,214092,30407161,C,AL590842.1,4653728.0
