Total Number of Aligned Reads:	198580	Total Number of Mapped Genomes:	12990
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|379731|org|Pseudomonas_stutzeri_A1501	0.9156476003669619	0.7737486151676906	153651.0	0.7737486151676906	0.0	0.7567423513564941	0.7190055344756949	142780.1190361835	0.6747356229227516	0.08759190250780542
ti|996285|org|Pseudomonas_stutzeri_DSM_4166	0.07346104483101198	0.1884479806627052	37422.0	0.1884479806627052	0.0	0.13311163289971087	0.14540420292307657	28874.366616464544	0.12399033135260348	0.05834424413334676
ti|96563|org|Pseudomonas_stutzeri_ATCC_17588_=_LMG_11199	0.006264785696782062	0.020253801994158525	4022.0	0.020253801994158525	0.0	0.09758000343999117	0.09656857771209292	19176.58816206741	0.08231946822439319	0.039268808540638536
ti|303|org|Pseudomonas_putida	0.00227874771818548	0.004945110283009367	982.0	0.004940074529157015	5.035753852351697e-06	0.002252508594320154	0.004114168972675594	816.9916745939196	0.003494813173532078	0.001893443448484238
ti|287|org|Pseudomonas_aeruginosa	0.0011213413599453883	0.0021049451102830093	418.0	0.0021049451102830093	0.0	0.00106231187900891	0.0018798650091463075	373.30359351627374	0.0016366200020143016	0.0013344747708731997
ti|316|org|Pseudomonas_stutzeri	0.00033926677511513724	0.000715077047033941	142.0	0.000715077047033941	0.0	0.00453458562343194	0.004032740923024111	800.821692494128	0.0019740155101218653	0.0055292577298821635
ti|1196835|org|Pseudomonas_stutzeri_CCUG_29243	0.00024276980572031294	0.005020646590794642	997.0	0.005020646590794642	0.0	0.0008683632293367621	0.00698279143226389	1386.6427226189633	0.006345049853963138	0.0021200523718400643
ti|91504|org|Pseudomonas_stutzeri_A15	0.0002264775584572189	0.0001762513848323094	35.0	0.0001762513848323094	0.0	0.001322211197162458	0.0012782421861886062	253.83333333333343	0.0006747910162151274	0.001329439017020848
ti|1117955|org|Pseudomonas_extremaustralis_14-3	0.00014748085814313898	0.0003877530466310807	77.0	0.0003877530466310807	0.0	0.0007870663881428025	0.0006466747238728302	128.41666666666663	0.0007100412931815893	0.00020646590794641957
ti|485704|org|Pseudomonas_sp._USM4-55	8.4594882633689e-05	8.057206163762716e-05	16.0	8.057206163762716e-05	0.0	0.00014402651762591731	0.00016827810789941914	33.41666666666665	5.035753852351697e-06	0.0003927888004834324
ti|269482|org|Burkholderia_vietnamiensis_G4	6.297914170728831e-05	7.553630778527546e-05	15.0	7.553630778527546e-05	0.0	4.143552820993712e-05	0.00017521425933652738	34.79404761904761	5.539329237586867e-05	0.000498539631382818
ti|511|org|Alcaligenes_faecalis	4.6392060387951556e-05	5.035753852351697e-05	10.0	5.035753852351697e-05	0.0	0.0002158316087873515	0.0002880571102446418	57.20238095238097	0.00015107261557055092	0.0003575385235169705
ti|381754|org|Pseudomonas_aeruginosa_PA7	3.746842778600829e-05	0.0001712156309799577	34.0	0.0001712156309799577	0.0	0.0006995849731528544	0.0007900647486433923	156.89105778560486	0.0007301843085909961	0.0011431161244838351
ti|5418|org|Cryptococcus_laurentii	2.2499744442005645e-05	6.546480008057206e-05	13.0	6.546480008057206e-05	0.0	2.2499743202015327e-05	6.79826770067479e-05	13.5	6.546480008057206e-05	5.035753852351697e-06
ti|596153|org|Alicycliphilus_denitrificans_BC	7.3795548703915025e-06	1.0071507704703395e-05	2.0	1.0071507704703395e-05	0.0	2.892970930224032e-05	4.919451918142624e-05	9.769047619047623	2.014301540940679e-05	0.000166179877127606
ti|202964|org|Pseudomonas_sp._K23	3.6577685659195683e-06	0.0005035753852351697	100.0	0.0005035753852351697	0.0	3.5001025474981458e-06	0.0003877530466310807	77.0	0.00037768153892637726	8.057206163762716e-05
ti|644801|org|Pseudomonas_stutzeri_RCH2	3.390675516114249e-06	0.001430154094067882	284.0	0.001430154094067882	0.0	0.0001597279684439868	0.004004322232677706	795.178308965139	0.003469634404270319	0.0017574780944707422
ti|32042|org|Pseudomonas_stutzeri_ATCC_14405_=_CCUG_16156	8.380051739307544e-07	6.546480008057206e-05	13.0	6.546480008057206e-05	0.0	8.380345423218186e-07	7.050055393292376e-05	14.0	6.546480008057206e-05	1.0071507704703395e-05
ti|399739|org|Pseudomonas_mendocina_ymp	5.508175858117902e-07	0.00083089938563803	165.0	0.00083089938563803	0.0	1.534140181894636e-05	0.002636677990182008	523.5915152903432	0.002326518279786484	0.0009416859703897674
ti|1331671|org|Pseudomonas_putida_H8234	4.772907761266314e-07	0.0003676100312216739	73.0	0.0003676100312216739	0.0	4.091474803982183e-05	0.0007091124575092126	140.81555181217945	0.0005740759391680935	0.0006747910162151274
ti|53412|org|Pseudomonas_resinovorans	1.3379166708254026e-07	0.0003525027696646188	70.0	0.0003525027696646188	0.0	5.27534991972582e-07	0.0009527375144118701	189.19461561190917	0.0003122167388458052	0.0016164769866048947
ti|77133|org|uncultured_bacterium	1.1923045810267546e-07	0.0001812871386846611	36.0	0.0001812871386846611	0.0	1.192937874021176e-07	0.0005226980405710372	103.79737689659657	0.00047839661597341124	0.0001963944002417162
ti|291995|org|Pseudomonas_azotifigens	3.6388185158081697e-09	1.510726155705509e-05	3.0	1.510726155705509e-05	0.0	1.0449764596975228e-07	2.5507444776874543e-05	5.0652683837917465	1.510726155705509e-05	1.510726155705509e-05
