Total Number of Aligned Reads:	291030	Total Number of Mapped Genomes:	17163
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|1195464|org|Bacillus_thuringiensis_MC28	0.9734516020717459	0.4306394529773563	125329.0	0.4306154004741779	2.4052503178366493e-05	0.9686079067819021	0.40914976632013256	119074.85649214817	0.39645397381713227	0.017843521286465314
ti|405532|org|Bacillus_cereus_B4264	0.0124985838055606	0.27692334123629864	80593.0	0.27421571659279115	0.002707624643507542	0.005997913075245113	0.15770028769210453	45895.51472703318	0.13755626567707796	0.03020650792014569
ti|405531|org|Bacillus_cereus_G9842	0.009028596291874713	0.19541628010857987	56872.0	0.19185307356629902	0.0035632065422808645	0.0090067568811206	0.1712481521179208	49838.34971087849	0.15036937772738207	0.031227021269284953
ti|1428|org|Bacillus_thuringiensis	0.0020645110665878656	0.0013641205374016424	397.0	0.0013641205374016424	0.0	0.00414846404026184	0.0028255537621440724	822.3209113967894	0.0028691200219908603	0.003233343641548981
ti|198094|org|Bacillus_anthracis_str._Ames	0.0014459387585024788	0.05797340480362849	16872.0	0.0567604714290623	0.001212933374566196	0.002158701719168079	0.10627621594994432	30929.567127912298	0.09174655533793767	0.023698587774456242
ti|29339|org|Bacillus_thuringiensis_serovar_kurstaki	0.0005698783522269065	0.0008658901144211937	252.0	0.0008658901144211937	0.0	0.0014119453491467638	0.0008121945525417301	236.37298062621971	0.0007353193828814899	0.0006081847232244098
ti|714359|org|Bacillus_thuringiensis_BMB171	0.0004135091325169123	0.007607463148129059	2214.0	0.00759028278871594	1.718035941311892e-05	0.004279691372019823	0.01108081658399401	3224.8500504397766	0.005855066487990929	0.012428271999450229
ti|44161|org|Bacillus_thuringiensis_serovar_kyushuensis	0.00017198444983139538	4.46689344741092e-05	13.0	4.46689344741092e-05	0.0	0.00017370180605891594	0.00021091754572839016	61.38333333333339	4.8105006356732985e-05	0.0004363811290932206
ti|226900|org|Bacillus_cereus_ATCC_14579	0.00014880777167134774	0.0021647252860529844	630.0	0.002150980998522489	1.3744287530495138e-05	0.0005265277214303048	0.005301655066578881	1542.9406740264517	0.0022300106518228363	0.008411503968663024
ti|541229|org|Bacillus_thuringiensis_serovar_chinensis_CT-43	4.757245137082126e-05	0.008140054289935746	2369.0	0.008119437858640003	2.061643129574271e-05	0.0004622001489452984	0.007794659285151852	2268.4796917577432	0.0030821564787135345	0.014032917568635535
