Total Number of Aligned Reads:	292280	Total Number of Mapped Genomes:	15652
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|216595|org|Pseudomonas_fluorescens_SBW25	0.9992451970499413	0.976146161215273	285308.0	0.976146161215273	0.0	0.9952905081740261	0.9483355133324524	277179.5038368092	0.9480121801012728	0.005227863692349802
ti|1282356|org|Pseudomonas_poae_RE*1-1-14	0.00042417247408175763	0.006603257150677433	1930.0	0.006603257150677433	0.0	0.0008649456863244255	0.006047757461514512	1767.6385508514616	0.005535787600930615	0.002412070617216368
ti|294|org|Pseudomonas_fluorescens	0.0003264721848904484	0.0010982619406048994	321.0	0.0010982619406048994	0.0	0.0038385124751219007	0.004025800620439487	1176.6610053420532	0.0058710825236075	0.0016662104830983987
ti|1207075|org|Pseudomonas_sp._UW4	2.9729641233677615e-06	0.014882988914739291	4350.0	0.014879567537977282	3.4213767620090325e-06	2.9955682352209242e-06	0.01511314986787448	4417.271443382353	0.014527165731490353	0.0016354180922403174
ti|77133|org|uncultured_bacterium	6.523319782057275e-07	2.0528260572054196e-05	6.0	2.0528260572054196e-05	0.0	1.1632478373733278e-06	9.739900367010359e-05	28.467780792697877	2.737101409607226e-05	0.00020186122895853292
ti|1037911|org|Pseudomonas_fluorescens_A506	5.01257401605941e-07	0.001173532229369098	343.0	0.0011701108526070891	3.4213767620090325e-06	1.4044506183788409e-06	0.0038913259667099766	1137.356753549992	0.003161352128096346	0.002131517722731627
ti|492160|org|Pseudomonas_sp._GmFRB002	1.4771403218467555e-08	3.079239085808129e-05	9.0	3.079239085808129e-05	0.0	1.4797634393616762e-08	3.0798797930669325e-05	9.00187265917603	3.079239085808129e-05	0.0
ti|191390|org|Pseudomonas_palleroniana	1.1830499670736404e-08	2.0528260572054196e-05	6.0	2.0528260572054196e-05	0.0	1.0324136209938199e-08	1.9149555421580774e-05	5.597032058619629	3.4213767620090325e-06	3.079239085808129e-05
ti|29442|org|Pseudomonas_tolaasii	2.644697592725129e-09	3.4213767620090325e-06	1.0	3.4213767620090325e-06	0.0	4.070245266100752e-09	4.022042714362352e-05	11.755626445538283	3.421376762009033e-05	3.079239085808129e-05
ti|131426|org|chlamydia-associated_clinical_sample_641-G	1.9259998895993823e-09	1.7106883810045164e-05	5.0	1.7106883810045164e-05	0.0	2.454019546723623e-09	9.921992609826195e-05	29.0	9.921992609826195e-05	0.0
ti|1038924|org|Pseudomonas_fluorescens_SS101	5.626874230935822e-10	3.4213767620090325e-06	1.0	3.4213767620090325e-06	0.0	3.0906110340311285e-07	8.040235390721226e-05	23.5	5.474202819214452e-05	5.1320651430135485e-05
