Total Number of Aligned Reads:	239660	Total Number of Mapped Genomes:	14574
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|1282356|org|Pseudomonas_poae_RE*1-1-14	0.99996096789368	0.9105107235249937	218213.0	0.9105107235249937	0.0	0.9990864405580024	0.8690141876169536	208267.9402042791	0.8657890344654928	0.0053116915630476505
ti|216595|org|Pseudomonas_fluorescens_SBW25	3.813393817563779e-05	0.07881164983726946	18888.0	0.07881164983726946	0.0	0.0006608305900818113	0.07176005346014906	17198.014412259323	0.07057915380121839	0.003834599015271635
ti|1207075|org|Pseudomonas_sp._UW4	7.434119850609446e-07	0.010402236501710757	2493.0	0.010402236501710757	0.0	7.51964115086492e-07	0.016586766404497702	3975.184436501919	0.01570141033130268	0.002178085621296837
ti|53707|org|Pseudomonas_syringae_pv._lachrymans	1.1820544071305645e-07	3.338062254861053e-05	8.0	3.338062254861053e-05	0.0	1.1820198436905821e-07	3.546691145789869e-05	8.5	3.338062254861053e-05	4.1725778185763164e-06
ti|294|org|Pseudomonas_fluorescens	1.4526930894051156e-08	5.00709338229158e-05	12.0	4.589835600433948e-05	4.1725778185763164e-06	1.4711025160312413e-08	0.0012094226022252986	289.85022084931506	0.0009680380539097054	0.0009513477426354002
ti|191391|org|Pseudomonas_salomonii	1.0001649173646279e-08	8.345155637152633e-06	2.0	8.345155637152633e-06	0.0	7.542846386326937e-09	2.6019831228233166e-05	6.23591275215836	2.0862889092881584e-05	8.345155637152633e-06
ti|1037911|org|Pseudomonas_fluorescens_A506	5.478354850052755e-09	5.8416089460068433e-05	14.0	5.8416089460068433e-05	0.0	2.1147823833159274e-06	0.012928141624347848	3098.3584216912054	0.011804222648752399	0.0029208044730034215
ti|205918|org|Pseudomonas_syringae_pv._syringae_B728a	3.1952833704223014e-09	2.50354669114579e-05	6.0	2.50354669114579e-05	0.0	6.903988850622978e-09	0.0011538353653320654	276.5281836554828	0.0008219978302595344	0.0011850121004756738
ti|131426|org|chlamydia-associated_clinical_sample_641-G	1.5933192533268813e-09	6.676124509722106e-05	16.0	6.676124509722106e-05	0.0	1.4073272261002034e-09	5.8416089460068433e-05	14.0	5.8416089460068433e-05	0.0
ti|1114970|org|Pseudomonas_fluorescens_F113	1.2750310178347068e-09	4.1725778185763164e-06	1.0	4.1725778185763164e-06	0.0	3.1228971342050494e-09	0.009275827795250931	2223.044889409838	0.008457815238254193	0.0021697404656596847
ti|114707|org|uncultured_Pseudomonas_sp.	4.478566075976384e-10	2.9208044730034217e-05	7.0	2.9208044730034217e-05	0.0	6.900735509645309e-10	8.065827094602514e-05	19.330561214924384	5.8416089460068433e-05	9.179671200867896e-05
